per_sies;cod_ies;total_jce_mujeres;total_jce_hombres;total_jce_gral;prom_edad_jce_mujeres;prom_edad_jce_hombres;prom_edad_jce_inst;num_jce_1_inst;num_jce_2_inst;num_jce_3_mas_inst;num_jce_nform_doctor;num_jce_nform_magister;num_jce_nform_esp_med_odo;num_jce_nform_tit_prof;num_jce_nform_licen;num_jce_nform_tns;num_jce_nform_tnm;num_jce_nform_ens_media;num_jce_nform_stit_sgra;num_jce_nform_sin_info;num_jce_reg_ar_pa;num_jce_reg_tarap;num_jce_reg_antof;num_jce_reg_ataca;num_jce_reg_coqui;num_jce_reg_valpo;num_jce_reg_metro;num_jce_reg_ohigg;num_jce_reg_maule;num_jce_reg_nuble;num_jce_reg_biobi;num_jce_reg_arau;num_jce_reg_losri;num_jce_reg_losla;num_jce_reg_aysen;num_jce_reg_magal;num_jce_reg_sin_inf;num_jce_nac_chile;num_jce_nac_extra;num_jce_hrs_menos_11;num_jce_hrs_ent_11_22;num_jce_hrs_ent_23_38;num_jce_hrs_mas_38
PAC_2022;450;18.0681818181818;21.3977272727273;39.4659090909091;41.451572327044;45.348380244291;43.564353584797;4.88636363636364;5.47727272727273;5.22727272727273;;5.09090909090909;;26.9659090909091;1.29545454545455;5.93181818181818;;0.181818181818182;;;;;;;;;;;;;39.4659090909091;;;;;;;39.0113636363636;0.454545454545455;8.29545454545455;12.1363636363636;9.96590909090909;9.06818181818182
PAC_2022;456;45.8925;56.2943181818182;102.186818181818;40.9446582180689;42.6998405296837;41.9115812838339;13.0038636363636;18.4804545454545;8.32295454545455;;17.3525;;70.1179545454546;1.88909090909091;12.8272727272727;;;;;;;22.5693181818182;;49.1729545454546;;;;;;30.4445454545455;;;;;;;100.592954545455;1.59386363636364;15.7345454545455;21.7413636363636;31.2090909090909;33.5018181818182
PAC_2022;492;0.454545454545455;1.38636363636364;1.84090909090909;48;51.0983606557377;50.3333333333333;;;0.454545454545455;;;;0.636363636363636;;1.20454545454545;;;;;;;;;;;1.84090909090909;;;;;;;;;;;1.84090909090909;;0.363636363636364;0.454545454545455;;1.02272727272727
PAC_2022;534;2.15909090909091;6.47727272727273;8.63636363636364;42.6842105263158;47.0701754385965;45.9736842105263;0.909090909090909;0.340909090909091;0.909090909090909;;0.340909090909091;;7.95454545454545;;0.340909090909091;;;;;;;;;;;8.63636363636364;;;;;;;;;;;8.63636363636364;;;1.36363636363636;;7.27272727272727
PAC_2022;536;1.02272727272727;1.02272727272727;2.04545454545455;38;61;49.5;;1.02272727272727;;;1.02272727272727;;1.02272727272727;;;;;;;2.04545454545455;;;;;;;;;;;;;;;;;2.04545454545455;;;;;2.04545454545455
PAC_2022;591;0.681818181818182;1.36363636363636;2.04545454545455;49;48;48.3333333333333;;;0.681818181818182;;;;1.36363636363636;0.681818181818182;;;;;;;;;;;;2.04545454545455;;;;;;;;;;;2.04545454545455;;;;2.04545454545455;
PAC_2022;629;62.2138636363636;72.1611363636364;134.375;40.1877066277978;44.9752888894489;42.7587010570826;25.1793181818182;18.4925;11.1540909090909;1.14772727272727;3.145;0.441818181818182;94.6113636363637;9.33227272727273;24.4275;0.176590909090909;1.09272727272727;;;;;;;;134.375;;;;;;;;;;;;132.236818181818;2.13818181818182;33.2220454545455;28.3434090909091;20.2288636363636;52.5806818181818
PAC_2022;633;2.73863636363636;2.21;4.94863636363636;43.0665560165975;46.4195804195804;44.5639753834849;0.552954545454545;1.12590909090909;0.629772727272727;;0.539772727272727;;3.23363636363636;0.333181818181818;0.681136363636364;0.0813636363636364;;;0.0795454545454545;;;;;;;;;;;;4.94863636363636;;;;;;4.94863636363636;;4.21568181818182;0.732954545454545;;
PAC_2022;676;17.6047727272727;15.2940909090909;32.8988636363636;40.1606614941713;39.3194044045531;39.7695761804428;5.82227272727273;7.24159090909091;3.52113636363636;0.355227272727273;7.22272727272727;;20.3056818181818;0.172272727272727;4.84295454545455;;;;;;;;;;11.0179545454545;21.8809090909091;;;;;;;;;;;32.8534090909091;0.0454545454545455;7.26772727272727;4.37340909090909;0.572045454545455;20.6856818181818
PAC_2022;691;1.41363636363636;0.259090909090909;1.67272727272727;43.3858520900322;36.280701754386;42.2853260869565;0.663636363636364;0.272727272727273;0.136363636363636;;;;1.67272727272727;;;;;;;;;;;;;;;;;;;1.67272727272727;;;;;1.67272727272727;;0.872727272727273;0.8;;
PAC_2022;693;2.36363636363636;14.7954545454545;17.1590909090909;38.6730769230769;44.4470046082949;43.6516556291391;0.75;1.31818181818182;0.295454545454545;0.909090909090909;0.727272727272727;;6.75;6.90909090909091;;;1.86363636363636;;;;;;;;;17.1590909090909;;;;;;;;;;;16.25;0.909090909090909;3.72727272727273;5.84090909090909;2.95454545454545;4.63636363636364
PAC_2022;701;9.07136363636364;6.53545454545455;15.6068181818182;50.660946033973;48.5254207817499;49.7666812290666;1.14204545454545;1.20454545454545;2.97477272727273;;1.91454545454545;;7.46181818181818;0.96;4.57159090909091;;0.698863636363636;;;;;;;;;15.6068181818182;;;;;;;;;;;15.6068181818182;;3.20045454545455;2.42;3.15340909090909;6.83295454545454
PAC_2022;714;1.18181818181818;3.27272727272727;4.45454545454545;53.9230769230769;52.2222222222222;52.6734693877551;;0.363636363636364;0.181818181818182;0.181818181818182;0.272727272727273;;1.72727272727273;1.63636363636364;0.636363636363636;;;;;;;;;;;4.45454545454545;;;;;;;;;;;4.27272727272727;0.181818181818182;3.18181818181818;1.27272727272727;;
PAC_2022;730;7.61363636363636;6.13636363636364;13.75;41.4567164179104;44.7740740740741;42.9371900826446;2.81818181818182;1.88636363636364;1.88636363636364;;2.65909090909091;;4.84090909090909;0.0454545454545455;6.15909090909091;;0.0454545454545455;;;;;;;;;13.75;;;;;;;;;;;10.8863636363636;2.86363636363636;0.5;1.84090909090909;1.18181818181818;10.2272727272727
PAC_2022;754;0.568181818181818;9.02272727272727;9.59090909090909;55.08;69.176322418136;68.3412322274882;;0.113636363636364;0.113636363636364;;3.11363636363636;;5.47727272727273;0.113636363636364;0.772727272727273;0.113636363636364;;;;;;;;;9.59090909090909;;;;;;;;;;;;9.59090909090909;;1.88636363636364;2.15909090909091;;5.54545454545455
