per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
7;0.0;0;1;40;1.0;0.6244897959183675;0.4518905526534329;0,624489796;0,451890553
7;0.010416666666666668;1;1;45;1.0;0.5104427736006685;0.4518905526534329;0,510442774;0,451890553
7;0.015625;6;1;47;1.0;0.6755943913838651;0.4518905526534329;0,675594391;0,451890553
7;0.020833333333333332;6;1;46;1.0;0.6715732153492726;0.4518905526534329;0,671573215;0,451890553
7;0.026041666666666668;8;1;48;1.0;0.6969765089355962;0.4518905526534329;0,696976509;0,451890553
7;0.031249999999999997;1;1;52;1.0;0.648754914809961;0.4518905526534329;0,648754915;0,451890553
7;0.03645833333333333;0;1;55;1.0;0.5090673575129534;0.4518905526534329;0,509067358;0,451890553
7;0.041666666666666664;0;1;56;1.0;0.7189504373177844;0.4518905526534329;0,718950437;0,451890553
7;0.05208333333333333;0;1;58;1.0;0.6602316602316605;0.4518905526534329;0,66023166;0,451890553
7;0.06770833333333333;4;1;54;1.0;0.4774241302738711;0.4518905526534329;0,47742413;0,451890553
7;0.08854166666666667;0;1;63;1.0;0.4990215264187867;0.4518905526534329;0,499021526;0,451890553
7;0.09375;9;1;64;1.0;0.4836706977947358;0.4518905526534329;0,483670698;0,451890553
7;0.109375;9;1;66;1.0;0.27660785429709733;0.4518905526534329;0,276607854;0,451890553
7;0.11458333333333333;0;1;68;1.0;0.606667641468051;0.4518905526534329;0,606667641;0,451890553
7;0.12499999999999999;6;1;70;1.0;0.6239180497101566;0.4518905526534329;0,62391805;0,451890553
7;0.14583333333333331;9;1;73;1.0;0.45143946096780785;0.4518905526534329;0,451439461;0,451890553
7;0.15624999999999997;9;1;75;1.0;0.675;0.4518905526534329;0,675;0,451890553
7;0.16666666666666666;8;1;76;1.0;0.6652452025586355;0.4518905526534329;0,665245203;0,451890553
7;0.17187499999999997;8;1;77;1.0;0.34474988733663836;0.4518905526534329;0,344749887;0,451890553
7;0.18229166666666666;0;1;79;1.0;0.6345315184353113;0.4518905526534329;0,634531518;0,451890553
7;0.18749999999999997;3;1;81;1.0;0.4285714285714286;0.4518905526534329;0,428571429;0,451890553
7;0.19791666666666666;9;1;83;1.0;0.38223938223938236;0.4518905526534329;0,382239382;0,451890553
7;0.20312499999999997;8;1;84;1.0;0.7946428571428574;0.4518905526534329;0,794642857;0,451890553
7;0.20833333333333331;0;1;85;1.0;0.45130871596016564;0.4518905526534329;0,451308716;0,451890553
7;0.21354166666666666;9;1;86;1.0;0.5891800507185123;0.4518905526534329;0,589180051;0,451890553
7;0.22395833333333331;9;1;88;1.0;0.44893551373033036;0.4518905526534329;0,448935514;0,451890553
7;0.22916666666666666;9;1;89;1.0;0.24849939975990387;0.4518905526534329;0,2484994;0,451890553
