per_sies;cod_ies;total_mujeres;total_hombres;total_gral;prom_edad_mujeres;prom_edad_hombres;prom_edad_inst;num_acad_1_inst;num_acad_2_inst;num_acad_3_mas_inst;num_acad_nform_doctor;num_acad_nform_magister;num_acad_nform_esp_med_odo;num_acad_nform_tit_prof;num_acad_nform_licencia;num_acad_nform_tns;num_acad_nform_tnm;num_acad_nform_ens_media;num_acad_nform_stit_sgra;num_acad_nform_sin_info;num_acad_reg_ar_pa;num_acad_reg_tarap;num_acad_reg_antof;num_acad_reg_ataca;num_acad_reg_coqui;num_acad_reg_valpo;num_acad_reg_metro;num_acad_reg_ohigg;num_acad_reg_maule;num_acad_reg_nuble;num_acad_reg_biobi;num_acad_reg_arau;num_acad_reg_losri;num_acad_reg_losla;num_acad_reg_aysen;num_acad_reg_magal;num_acad_reg_sin_inf;num_acad_nac_chile;num_acad_nac_extra;prom_gral_hrs_acad;prom_muj_hrs_acad;prom_hom_hrs_acad;num_acad_hrs_menos_11;num_acad_hrs_ent_11_22;num_acad_hrs_ent_23_38;num_acad_hrs_mas_38;num_acad_hrs_sin_info
PAC_2023;170;1;7;8;67;60;60.875;;;;;1;;3;3;1;;;;;2;;;;;;6;;;;;;;;;;;7;1;6.25;4;6.57142857142857;8;;;;
PAC_2023;171;28;61;89;45.9285714285714;48.7213114754098;47.8426966292135;6;7;7;1;44;;32;12;;;;;;;;;;;;89;;;;;;;;;;;87;2;11.876404494382;12.0285714285714;11.8065573770492;50;35;4;;
PAC_2023;176;115;88;203;45.904347826087;43.7159090909091;44.9556650246305;22;39;22;2;29;;139;17;13;1;;;2;;;;;40;;11;;;47;105;;;;;;;198;5;10.561921182266;9.9175652173913;11.4039772727273;147;34;6;16;
PAC_2023;193;8;52;60;43.625;45.3461538461538;45.1166666666667;1;3;3;1;14;;40;;3;2;;;;;;;;;;60;;;;;;;;;;;60;;12.5223333333333;16;11.9873076923077;37;17;;6;
PAC_2023;214;58;48;106;38.2586206896552;41.625;39.7830188679245;22;24;8;1;8;;65;14;17;1;;;;;;;;;22;84;;;;;;;;;;;101;5;31.4433962264151;32.7931034482759;29.8125;;;101;5;
PAC_2023;218;221;178;399;43.6199095022624;42.5898876404494;43.1604010025063;45;91;45;5;49;2;277;6;45;;2;;13;;;;;;;399;;;;;;;;;;;392;7;18.3721804511278;20.2036199095023;16.0983146067416;167;114;57;61;
PAC_2023;236;2;1;3;50.5;46;49;;1;;;;1;;;2;;;;;;;;;;;3;;;;;;;;;;;3;;21.6666666666667;29.5;6;2;;;1;
PAC_2023;241;7;7;14;56.7142857142857;49;52.8571428571429;;;4;;4;;9;;1;;;;;;;;;;;14;;;;;;;;;;;6;8;5.92857142857143;5.85714285714286;6;13;1;;;
PAC_2023;257;30;39;69;42.7;45.0769230769231;44.0434782608696;7;11;6;;10;;30;11;12;;6;;;;;;;69;;;;;;;;;;;;;67;2;15.4347826086957;17.7666666666667;13.6410256410256;39;17;4;9;
PAC_2023;260;1624;1193;2817;40.935960591133;42.336127409891;41.5289314873979;542;562;321;18;431;;2045;50;268;1;2;;2;99;138;123;71;208;162;540;152;230;134;298;231;108;245;;78;;2788;29;14.2904756833511;15.8163669950739;12.2133193629505;1649;560;294;314;
PAC_2023;280;124;73;197;41.3225806451613;43.6301369863014;42.1776649746193;33;51;24;;41;;141;13;2;;;;;;;;;;43;;34;21;;17;15;30;3;34;;;194;3;9.88832487309645;9.85483870967742;9.94520547945205;141;37;9;10;
PAC_2023;312;100;57;157;40.63;41.4385964912281;40.9235668789809;29;42;21;4;53;2;64;33;1;;;;;;;;;;;157;;;;;;;;;;;138;19;15.4211464968153;15.7754;14.799649122807;127;;7;23;
PAC_2023;319;6;2;8;44.6666666666667;47.5;45.375;2;2;;;;;8;;;;;;;;;;;;8;;;;;;;;;;;;8;;6.75;6.83333333333333;6.5;8;;;;
