per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2023-2024;158;Salud;Instituto Profesional;Terapia Ocupacional;2022;444;64.0;508
2023-2024;159;Ciencias Sociales;Instituto Profesional;Trabajo Social;2022;2734;514.0;3248
2022-2023;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2021;54;3.0;57
2022-2023;2;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2021;434;562.0;996
2022-2023;3;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2021;3552;4.0;3556
2022-2023;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2021;1334;36.0;1370
2022-2023;5;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2021;870;102.0;972
2022-2023;6;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2021;22;35.0;57
2022-2023;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2021;2476;1311.0;3787
2022-2023;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2021;386;89.0;475
2022-2023;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;2021;5;32.0;37
2022-2023;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2021;43;31.0;74
2022-2023;11;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2021;247;73.0;320
2022-2023;12;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2021;136;111.0;247
2022-2023;13;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2021;75;740.0;815
2022-2023;14;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2021;161;697.0;858
2022-2023;15;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2021;650;238.0;888
2022-2023;16;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2021;233;513.0;746
2022-2023;17;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2021;39;1009.0;1048
2022-2023;18;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2021;12;112.0;124
2022-2023;19;Salud;Centros de Formación Técnica;Técnico en Enfermería;2021;4179;675.0;4854
2022-2023;20;Salud;Centros de Formación Técnica;Técnico en Farmacia;2021;354;75.0;429
2022-2023;21;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2021;1063;697.0;1760
2022-2023;22;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2021;55;848.0;903
2022-2023;23;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2021;410;95.0;505
2022-2023;24;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2021;432;574.0;1006
2022-2023;25;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2021;68;1163.0;1231
2022-2023;26;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2021;46;1671.0;1717
2022-2023;27;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2021;7;261.0;268
2022-2023;28;Tecnología;Centros de Formación Técnica;Técnico en Minería;2021;83;168.0;251
2022-2023;29;Salud;Centros de Formación Técnica;Técnico en Podología;2021;193;17.0;210
2022-2023;30;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2021;281;235.0;516
2022-2023;31;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2021;1;29.0;30
2022-2023;32;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2021;80;49.0;129
2022-2023;33;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2021;69;30.0;99
2022-2023;34;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2021;3;91.0;94
2022-2023;35;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2021;699;107.0;806
2022-2023;36;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2021;32;276.0;308
2022-2023;37;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2021;98;300.0;398
2022-2023;38;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2021;381;211.0;592
2022-2023;39;Derecho;Centros de Formación Técnica;Técnico Jurídico;2021;229;64.0;293
2022-2023;40;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2021;123;40.0;163
2022-2023;41;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2021;314;111.0;425
2022-2023;42;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2021;2804;1608.0;4412
2022-2023;43;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2021;601;348.0;949
2022-2023;44;Ciencias Sociales;Institutos Profesionales;Administración Pública;2021;409;213.0;622
2022-2023;45;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2021;490;219.0;709
2022-2023;46;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2021;140;263.0;403
2022-2023;47;Tecnología;Institutos Profesionales;Construcción Civil;2021;362;1661.0;2023
2022-2023;48;Administración y Comercio;Institutos Profesionales;Contador Auditor;2021;1441;733.0;2174
2022-2023;49;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2021;112;9.0;121
2022-2023;50;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2021;196;18.0;214
2022-2023;51;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2021;428;373.0;801
2022-2023;52;Tecnología;Institutos Profesionales;Diseño Industrial;2021;58;83.0;141
2022-2023;53;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2021;262;402.0;664
2022-2023;54;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2021;6;53.0;59
2022-2023;55;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2021;270;212.0;482
2022-2023;56;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2021;178;1639.0;1817
2022-2023;57;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2021;48;617.0;665
2022-2023;58;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2021;350;1162.0;1512
2022-2023;59;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2021;28;958.0;986
2022-2023;60;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2021;168;113.0;281
2022-2023;61;Tecnología;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2021;52;157.0;209
2022-2023;62;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2021;180;72.0;252
2022-2023;63;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2021;150;323.0;473
2022-2023;64;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2021;341;317.0;658
2022-2023;65;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2021;92;2702.0;2794
2022-2023;66;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2021;101;80.0;181
2022-2023;67;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2021;48;71.0;119
2022-2023;68;Tecnología;Institutos Profesionales;Ingeniería en Minas;2021;198;455.0;653
2022-2023;69;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2021;1295;1409.0;2704
2022-2023;70;Tecnología;Institutos Profesionales;Ingeniería en Química;2021;86;55.0;141
2022-2023;71;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2021;1462;388.0;1850
2022-2023;72;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2021;6;57.0;63
2022-2023;73;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2021;7;158.0;165
2022-2023;74;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2021;13;241.0;254
2022-2023;75;Tecnología;Institutos Profesionales;Ingeniería Industrial;2021;37;446.0;483
2022-2023;76;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2021;29;907.0;936
2022-2023;77;Salud;Institutos Profesionales;Kinesiología;2021;90;53.0;143
2022-2023;78;Salud;Institutos Profesionales;Nutrición y Dietética;2021;45;7.0;52
2022-2023;79;Educación;Institutos Profesionales;Psicopedagogía;2021;1302;96.0;1398
2022-2023;80;Ciencias Sociales;Institutos Profesionales;Publicidad;2021;192;212.0;404
2022-2023;81;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2021;165;65.0;230
2022-2023;82;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2021;106;113.0;219
2022-2023;83;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2021;4646;4.0;4650
2022-2023;84;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2021;1809;60.0;1869
2022-2023;85;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2021;1064;125.0;1189
2022-2023;86;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2021;2903;1625.0;4528
2022-2023;87;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2021;688;212.0;900
2022-2023;88;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2021;24;278.0;302
2022-2023;89;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;2021;33;23.0;56
2022-2023;90;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2021;624;305.0;929
2022-2023;91;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2021;234;141.0;375
2022-2023;92;Tecnología;Institutos Profesionales;Técnico en Alimentos;2021;50;27.0;77
2022-2023;93;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2021;136;152.0;288
2022-2023;94;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2021;136;961.0;1097
2022-2023;95;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2021;92;220.0;312
2022-2023;96;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2021;217;1206.0;1423
2022-2023;97;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2021;889;422.0;1311
2022-2023;98;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2021;693;320.0;1013
2022-2023;99;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2021;256;755.0;1011
2022-2023;100;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2021;96;153.0;249
2022-2023;101;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2021;99;113.0;212
2022-2023;102;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2021;21;1014.0;1035
2022-2023;103;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2021;4;206.0;210
2022-2023;104;Salud;Institutos Profesionales;Técnico en Enfermería;2021;5585;857.0;6442
2022-2023;105;Salud;Institutos Profesionales;Técnico en Farmacia;2021;136;63.0;199
2022-2023;106;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;2021;37;40.0;77
2022-2023;107;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2021;275;195.0;470
2022-2023;108;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2021;19;44.0;63
2022-2023;109;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2021;26;504.0;530
2022-2023;110;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2021;349;64.0;413
2022-2023;111;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2021;378;739.0;1117
2022-2023;112;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2021;6;311.0;317
2022-2023;113;Salud;Institutos Profesionales;Técnico en Masoterapia;2021;233;51.0;284
2022-2023;114;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2021;36;1022.0;1058
2022-2023;115;Tecnología;Institutos Profesionales;Técnico en Minería;2021;84;349.0;433
2022-2023;116;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2021;797;29.0;826
2022-2023;117;Salud;Institutos Profesionales;Técnico en Podología;2021;179;18.0;197
2022-2023;118;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2021;304;384.0;688
2022-2023;119;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2021;138;48.0;186
2022-2023;120;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2021;110;46.0;156
2022-2023;121;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2021;2647;426.0;3073
2022-2023;122;Tecnología;Institutos Profesionales;Técnico en Sonido;2021;12;217.0;229
2022-2023;123;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2021;17;178.0;195
2022-2023;124;Tecnología;Institutos Profesionales;Técnico en Topografía;2021;37;182.0;219
2022-2023;125;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2021;405;248.0;653
2022-2023;126;Derecho;Institutos Profesionales;Técnico Jurídico;2021;293;113.0;406
2022-2023;127;Salud;Institutos Profesionales;Técnico Laboratorista Dental;2021;49;26.0;75
2022-2023;128;Agropecuaria;Institutos Profesionales;Técnico Veterinario;2021;186;43.0;229
2022-2023;129;Salud;Institutos Profesionales;Terapia Ocupacional;2021;172;22.0;194
2022-2023;130;Ciencias Sociales;Institutos Profesionales;Trabajo Social;2021;2140;367.0;2507
2021-2022;1;Administración y Comercio;Centro de Formación Técnica;Secretariado Bilingüe;2020;114;7.0;121
2021-2022;2;Agropecuaria;Centro de Formación Técnica;Técnico Agropecuario;2020;249;377.0;626
2021-2022;3;Educación;Centro de Formación Técnica;Técnico Asistente del Educador de Párvulos;2020;2459;1.0;2460
2021-2022;4;Educación;Centro de Formación Técnica;Técnico Asistente del Educador Diferencial;2020;796;28.0;824
2021-2022;5;Salud;Centro de Formación Técnica;Técnico Dental y Asistente de Odontología;2020;352;54.0;406
2021-2022;6;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Empresas;2020;1761;896.0;2657
2021-2022;7;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2020;324;70.0;394
2021-2022;8;Tecnología;Centro de Formación Técnica;Técnico en Administración de Redes y Soporte;2020;7;41.0;48
2021-2022;9;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Ventas;2020;27;11.0;38
2021-2022;10;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración Financiera y Finanzas;2020;19;8.0;27
2021-2022;11;Ciencias Sociales;Centro de Formación Técnica;Técnico en Administración Pública o Municipal;2020;250;108.0;358
2021-2022;12;Administración y Comercio;Centro de Formación Técnica;Técnico en Comercio Exterior;2020;96;79.0;175
2021-2022;13;Tecnología;Centro de Formación Técnica;Técnico en Computación e Informática;2020;53;420.0;473
2021-2022;14;Tecnología;Centro de Formación Técnica;Técnico en Construcción y Obras Civiles;2020;109;654.0;763
2021-2022;15;Administración y Comercio;Centro de Formación Técnica;Técnico en Contabilidad General;2020;449;184.0;633
2021-2022;16;Educación;Centro de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2020;87;199.0;286
2021-2022;17;Tecnología;Centro de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2020;18;629.0;647
2021-2022;18;Tecnología;Centro de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2020;1;36.0;37
2021-2022;19;Salud;Centro de Formación Técnica;Técnico en Enfermería;2020;2715;482.0;3197
2021-2022;20;Salud;Centro de Formación Técnica;Técnico en Farmacia;2020;130;32.0;162
2021-2022;21;Administración y Comercio;Centro de Formación Técnica;Técnico en Gastronomía y Cocina;2020;523;329.0;852
2021-2022;22;Tecnología;Centro de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2020;30;507.0;537
2021-2022;23;Salud;Centro de Formación Técnica;Técnico en Laboratorio Clínico;2020;180;44.0;224
2021-2022;24;Administración y Comercio;Centro de Formación Técnica;Técnico en Logística;2020;267;423.0;690
2021-2022;25;Tecnología;Centro de Formación Técnica;Técnico en Mantenimiento Industrial;2020;23;759.0;782
2021-2022;26;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Automotriz;2020;30;969.0;999
2021-2022;27;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Industrial;2020;4;129.0;133
2021-2022;28;Tecnología;Centro de Formación Técnica;Técnico en Minería y Metalurgia;2020;57;145.0;202
2021-2022;29;Salud;Centro de Formación Técnica;Técnico en Podología;2020;148;16.0;164
2021-2022;30;Tecnología;Centro de Formación Técnica;Técnico en Prevención de Riesgos;2020;255;271.0;526
2021-2022;31;Tecnología;Centro de Formación Técnica;Técnico en Procesos Industriales;2020;1;40.0;41
2021-2022;32;Arte y Arquitectura;Centro de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2020;43;39.0;82
2021-2022;33;Ciencias Básicas;Centro de Formación Técnica;Técnico en Química (Análisis e Industrial);2020;45;28.0;73
2021-2022;34;Salud;Centro de Formación Técnica;Técnico en Radiología y Radioterapia;2020;45;16.0;61
2021-2022;35;Tecnología;Centro de Formación Técnica;Técnico en Refrigeración y Climatización;2020;4;55.0;59
2021-2022;36;Ciencias Sociales;Centro de Formación Técnica;Técnico en Servicio Social;2020;547;90.0;637
2021-2022;37;Tecnología;Centro de Formación Técnica;Técnico en Telecomunicaciones;2020;15;187.0;202
2021-2022;38;Salud;Centro de Formación Técnica;Técnico en Terapias Naturales y Naturopatía;2020;51;4.0;55
2021-2022;39;Tecnología;Centro de Formación Técnica;Técnico en Topografía;2020;48;215.0;263
2021-2022;40;Administración y Comercio;Centro de Formación Técnica;Técnico en Turismo y Hotelería;2020;246;150.0;396
2021-2022;41;Derecho;Centro de Formación Técnica;Técnico Jurídico;2020;83;30.0;113
2021-2022;42;Salud;Centro de Formación Técnica;Técnico Laboratorista Dental;2020;41;8.0;49
2021-2022;43;Agropecuaria;Centro de Formación Técnica;Técnico Veterinario;2020;123;50.0;173
2021-2022;44;Administración y Comercio;Instituto Profesional;Administración de Empresas e Ing. Asociadas;2020;2682;1539.0;4221
2021-2022;45;Administración y Comercio;Instituto Profesional;Administración Gastronómica;2020;183;134.0;317
2021-2022;46;Ciencias Sociales;Instituto Profesional;Administración Pública;2020;292;186.0;478
2021-2022;47;Administración y Comercio;Instituto Profesional;Administración Turística y Hotelera;2020;251;118.0;369
2021-2022;48;Arte y Arquitectura;Instituto Profesional;Comunicación Audiovisual y/o Multimedia;2020;96;195.0;291
2021-2022;49;Tecnología;Instituto Profesional;Construcción Civil;2020;264;1268.0;1532
2021-2022;50;Administración y Comercio;Instituto Profesional;Contador Auditor;2020;1160;598.0;1758
2021-2022;51;Arte y Arquitectura;Instituto Profesional;Diseño de Ambientes e Interiores;2020;70;15.0;85
2021-2022;52;Arte y Arquitectura;Instituto Profesional;Diseño de Vestuario;2020;105;7.0;112
2021-2022;53;Arte y Arquitectura;Instituto Profesional;Diseño Gráfico;2020;327;274.0;601
2021-2022;54;Tecnología;Instituto Profesional;Diseño Industrial;2020;57;49.0;106
2021-2022;55;Agropecuaria;Instituto Profesional;Ingeniería Agrícola;2020;161;296.0;457
2021-2022;56;Tecnología;Instituto Profesional;Ingeniería en Automatización, Instrumentación y Control;2020;0;38.0;38
2021-2022;57;Administración y Comercio;Instituto Profesional;Ingeniería en Comercio Exterior;2020;161;125.0;286
2021-2022;58;Tecnología;Instituto Profesional;Ingeniería en Computación e Informática;2020;183;1329.0;1512
2021-2022;59;Tecnología;Instituto Profesional;Ingeniería en Conectividad y Redes;2020;19;368.0;387
2021-2022;60;Tecnología;Instituto Profesional;Ingeniería en Construcción;2020;221;844.0;1065
2021-2022;61;Tecnología;Instituto Profesional;Ingeniería en Electricidad;2020;28;723.0;751
2021-2022;62;Administración y Comercio;Instituto Profesional;Ingeniería en Finanzas;2020;170;109.0;279
2021-2022;63;Ciencias Sociales;Instituto Profesional;Ingeniería en Gestión Pública;2020;123;69.0;192
2021-2022;64;Administración y Comercio;Instituto Profesional;Ingeniería en Logística;2020;110;209.0;319
2021-2022;65;Administración y Comercio;Instituto Profesional;Ingeniería en Marketing;2020;298;281.0;579
2021-2022;66;Tecnología;Instituto Profesional;Ingeniería en Mecánica Automotriz;2020;35;1384.0;1419
2021-2022;67;Tecnología;Instituto Profesional;Ingeniería en Medio Ambiente;2020;48;44.0;92
2021-2022;68;Tecnología;Instituto Profesional;Ingeniería en Minas y Metalurgia;2020;120;337.0;457
2021-2022;69;Tecnología;Instituto Profesional;Ingeniería en Prevención de Riesgos;2020;1391;1599.0;2990
2021-2022;70;Tecnología;Instituto Profesional;Ingeniería en Química;2020;56;32.0;88
2021-2022;71;Administración y Comercio;Instituto Profesional;Ingeniería en Recursos Humanos;2020;1043;300.0;1343
2021-2022;72;Tecnología;Instituto Profesional;Ingeniería en Refrigeración y Climatización;2020;1;36.0;37
2021-2022;73;Administración y Comercio;Instituto Profesional;Ingeniería en Seguridad Privada;2020;48;247.0;295
2021-2022;74;Tecnología;Instituto Profesional;Ingeniería en Telecomunicaciones;2020;17;177.0;194
2021-2022;75;Tecnología;Instituto Profesional;Ingeniería Industrial;2020;28;257.0;285
2021-2022;76;Tecnología;Instituto Profesional;Ingeniería Mecánica;2020;17;519.0;536
2021-2022;77;Salud;Instituto Profesional;Kinesiología;2020;19;14.0;33
2021-2022;78;Educación;Instituto Profesional;Psicopedagogía;2020;1199;111.0;1310
2021-2022;79;Ciencias Sociales;Instituto Profesional;Publicidad;2020;88;97.0;185
2021-2022;80;Ciencias Sociales;Instituto Profesional;Relaciones Públicas;2020;103;50.0;153
2021-2022;81;Agropecuaria;Instituto Profesional;Técnico Agropecuario;2020;81;118.0;199
2021-2022;82;Educación;Instituto Profesional;Técnico Asistente del Educador de Párvulos;2020;4165;1.0;4166
2021-2022;83;Educación;Instituto Profesional;Técnico Asistente del Educador Diferencial;2020;1268;42.0;1310
2021-2022;84;Salud;Instituto Profesional;Técnico Dental y Asistente de Odontología;2020;842;116.0;958
2021-2022;85;Administración y Comercio;Instituto Profesional;Técnico en Administración de Empresas;2020;2973;1715.0;4688
2021-2022;86;Administración y Comercio;Instituto Profesional;Técnico en Administración de Recursos Humanos y Personal;2020;640;159.0;799
2021-2022;87;Tecnología;Instituto Profesional;Técnico en Administración de Redes y Soporte;2020;28;321.0;349
2021-2022;88;Administración y Comercio;Instituto Profesional;Técnico en Administración de Ventas;2020;28;19.0;47
2021-2022;89;Administración y Comercio;Instituto Profesional;Técnico en Administración Financiera y Finanzas;2020;498;293.0;791
2021-2022;90;Humanidades;Instituto Profesional;Técnico en Bibliotecas y Centros de Documentación;2020;6;5.0;11
2021-2022;91;Administración y Comercio;Instituto Profesional;Técnico en Comercio Exterior;2020;140;142.0;282
2021-2022;92;Tecnología;Instituto Profesional;Técnico en Computación e Informática;2020;104;732.0;836
2021-2022;93;Arte y Arquitectura;Instituto Profesional;Técnico en Comunicación Audiovisual;2020;60;137.0;197
2021-2022;94;Tecnología;Instituto Profesional;Técnico en Construcción y Obras Civiles;2020;218;1073.0;1291
2021-2022;95;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad General;2020;623;296.0;919
2021-2022;96;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad Tributaria;2020;527;198.0;725
2021-2022;97;Educación;Instituto Profesional;Técnico en Deporte, Recreación y Preparación Física;2020;201;553.0;754
2021-2022;98;Arte y Arquitectura;Instituto Profesional;Técnico en Dibujo Arquitectónico;2020;85;131.0;216
2021-2022;99;Arte y Arquitectura;Instituto Profesional;Técnico en Diseño Gráfico;2020;83;80.0;163
2021-2022;100;Tecnología;Instituto Profesional;Técnico en Electricidad y Electricidad Industrial;2020;38;869.0;907
2021-2022;101;Tecnología;Instituto Profesional;Técnico en Electromecánica;2020;4;157.0;161
2021-2022;102;Salud;Instituto Profesional;Técnico en Enfermería;2020;4349;651.0;5000
2021-2022;103;Administración y Comercio;Instituto Profesional;Técnico en Gastronomía y Cocina;2020;191;129.0;320
2021-2022;104;Tecnología;Instituto Profesional;Técnico en Instrumentación, Automatización y Control Industrial;2020;14;238.0;252
2021-2022;105;Salud;Instituto Profesional;Técnico en Laboratorio Clínico;2020;134;32.0;166
2021-2022;106;Administración y Comercio;Instituto Profesional;Técnico en Logística;2020;234;436.0;670
2021-2022;107;Tecnología;Instituto Profesional;Técnico en Mantenimiento Industrial;2020;5;228.0;233
2021-2022;108;Salud;Instituto Profesional;Técnico en Masoterapia;2020;80;24.0;104
2021-2022;109;Tecnología;Instituto Profesional;Técnico en Mecánica Automotriz;2020;30;620.0;650
2021-2022;110;Tecnología;Instituto Profesional;Técnico en Minería y Metalurgia;2020;86;311.0;397
2021-2022;111;Salud;Instituto Profesional;Técnico en Nutrición y Dietética;2020;25;6.0;31
2021-2022;112;Arte y Arquitectura;Instituto Profesional;Técnico en Peluquería y Estética;2020;604;29.0;633
2021-2022;113;Salud;Instituto Profesional;Técnico en Podología;2020;125;11.0;136
2021-2022;114;Tecnología;Instituto Profesional;Técnico en Prevención de Riesgos;2020;314;386.0;700
2021-2022;115;Salud;Instituto Profesional;Técnico en Radiología y Radioterapia;2020;87;31.0;118
2021-2022;116;Ciencias Sociales;Instituto Profesional;Técnico en Relaciones Públicas;2020;120;36.0;156
2021-2022;117;Ciencias Sociales;Instituto Profesional;Técnico en Servicio Social;2020;1958;365.0;2323
2021-2022;118;Tecnología;Instituto Profesional;Técnico en Sonido;2020;8;127.0;135
2021-2022;119;Tecnología;Instituto Profesional;Técnico en Telecomunicaciones;2020;1;48.0;49
2021-2022;120;Tecnología;Instituto Profesional;Técnico en Topografía;2020;42;163.0;205
2021-2022;121;Administración y Comercio;Instituto Profesional;Técnico en Turismo y Hotelería;2020;418;212.0;630
2021-2022;122;Derecho;Instituto Profesional;Técnico Jurídico;2020;246;91.0;337
2021-2022;123;Salud;Instituto Profesional;Técnico Laboratorista Dental;2020;64;24.0;88
2021-2022;124;Agropecuaria;Instituto Profesional;Técnico Veterinario;2020;93;21.0;114
2021-2022;125;Salud;Instituto Profesional;Terapia Ocupacional;2020;61;7.0;68
2021-2022;126;Ciencias Sociales;Instituto Profesional;Trabajo Social;2020;1594;306.0;1900
2020-2021;1;Administración y Comercio;Centro de Formación Técnica;Secretariado Bilingüe;2019;169;7.0;176
2020-2021;2;Salud;Centro de Formación Técnica;Técnico Agente o Visitador Médico;2019;17;5.0;22
2020-2021;3;Agropecuaria;Centro de Formación Técnica;Técnico Agropecuario;2019;309;493.0;802
2020-2021;4;Educación;Centro de Formación Técnica;Técnico Asistente del Educador de Párvulos;2019;2949;1.0;2950
2020-2021;5;Educación;Centro de Formación Técnica;Técnico Asistente del Educador Diferencial;2019;1070;41.0;1111
2020-2021;6;Salud;Centro de Formación Técnica;Técnico Dental y Asistente de Odontología;2019;592;59.0;651
2020-2021;7;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Empresas;2019;2306;1303.0;3609
2020-2021;8;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2019;400;76.0;476
2020-2021;9;Tecnología;Centro de Formación Técnica;Técnico en Administración de Redes y Soporte;2019;3;39.0;42
2020-2021;10;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Ventas;2019;50;29.0;79
2020-2021;11;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración Financiera y Finanzas;2019;52;23.0;75
2020-2021;12;Ciencias Sociales;Centro de Formación Técnica;Técnico en Administración Pública o Municipal;2019;146;56.0;202
