per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2023;104;16.0;120
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2023;194;22.0;216
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2023;554;392.0;946
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;2023;50;61.0;111
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;2023;156;21.0;177
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2023;384;457.0;841
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2023;21;257.0;278
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2023;310;206.0;516
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2023;241;1978.0;2219
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2023;64;637.0;701
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2023;268;979.0;1247
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2023;52;1281.0;1333
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2023;544;270.0;814
2024-2025;97;Ciencias Básicas;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2023;53;225.0;278
2024-2025;98;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2023;225;117.0;342
2024-2025;100;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2023;382;531.0;913
2024-2025;101;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2023;319;232.0;551
2024-2025;103;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2023;103;2799.0;2902
2024-2025;104;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2023;159;107.0;266
2024-2025;105;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2023;39;53.0;92
2024-2025;106;Tecnología;Institutos Profesionales;Ingeniería en Minas;2023;164;379.0;543
2024-2025;107;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2023;931;925.0;1856
2024-2025;108;Tecnología;Institutos Profesionales;Ingeniería en Química;2023;115;42.0;157
2024-2025;109;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2023;1284;350.0;1634
2024-2025;110;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2023;3;89.0;92
2024-2025;111;Administración y Comercio;Institutos Profesionales;Ingeniería en Seguridad Privada;2023;112;650.0;762
2024-2025;112;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2023;18;196.0;214
2024-2025;113;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2023;35;291.0;326
2024-2025;114;Tecnología;Institutos Profesionales;Ingeniería Industrial;2023;100;874.0;974
2024-2025;116;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2023;32;769.0;801
2024-2025;117;Salud;Institutos Profesionales;Kinesiología;2023;77;64.0;141
2024-2025;118;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;2023;45;165.0;210
2024-2025;120;Educación;Institutos Profesionales;Psicopedagogía;2023;1474;121.0;1595
2024-2025;121;Ciencias Sociales;Institutos Profesionales;Publicidad;2023;185;166.0;351
2024-2025;123;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2023;131;71.0;202
2024-2025;124;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2023;114;131.0;245
2024-2025;125;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2023;2737;6.0;2743
2024-2025;126;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2023;1158;39.0;1197
2024-2025;127;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2023;829;86.0;915
2024-2025;128;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2023;2513;1231.0;3744
2024-2025;129;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2023;581;142.0;723
2024-2025;130;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2023;20;231.0;251
2024-2025;133;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2023;360;168.0;528
2024-2025;134;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2023;390;245.0;635
2024-2025;135;Tecnología;Institutos Profesionales;Técnico en Alimentos;2023;32;7.0;39
2024-2025;139;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2023;187;133.0;320
2024-2025;140;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2023;191;1326.0;1517
2024-2025;141;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2023;64;145.0;209
2024-2025;143;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2023;194;884.0;1078
2024-2025;144;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2023;873;345.0;1218
2024-2025;145;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2023;370;173.0;543
2024-2025;146;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2023;198;585.0;783
2024-2025;147;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2023;98;128.0;226
2024-2025;149;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2023;127;89.0;216
2024-2025;150;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2023;36;876.0;912
2024-2025;151;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2023;14;137.0;151
2024-2025;153;Salud;Institutos Profesionales;Técnico en Enfermería;2023;5041;937.0;5978
2024-2025;154;Salud;Institutos Profesionales;Técnico en Farmacia;2023;198;60.0;258
2024-2025;156;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2023;233;229.0;462
2024-2025;157;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2023;21;32.0;53
2024-2025;159;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2023;56;785.0;841
2024-2025;160;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2023;214;54.0;268
2024-2025;161;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2023;445;952.0;1397
2024-2025;162;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2023;11;269.0;280
2024-2025;163;Salud;Institutos Profesionales;Técnico en Masoterapia;2023;139;49.0;188
2024-2025;164;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2023;29;753.0;782
2024-2025;167;Tecnología;Institutos Profesionales;Técnico en Minería;2023;86;380.0;466
2024-2025;169;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2023;1190;32.0;1222
2024-2025;170;Salud;Institutos Profesionales;Técnico en Podología;2023;463;41.0;504
2024-2025;171;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2023;299;381.0;680
2024-2025;178;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2023;86;43.0;129
2024-2025;179;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2023;20;12.0;32
2024-2025;181;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2023;1975;296.0;2271
2024-2025;182;Tecnología;Institutos Profesionales;Técnico en Sonido;2023;20;252.0;272
2024-2025;183;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2023;15;193.0;208
2024-2025;185;Tecnología;Institutos Profesionales;Técnico en Topografía;2023;27;123.0;150
2024-2025;186;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;2023;80;41.0;121
2024-2025;188;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2023;340;195.0;535
2024-2025;189;Derecho;Institutos Profesionales;Técnico Jurídico;2023;464;168.0;632
2024-2025;190;Salud;Institutos Profesionales;Técnico Laboratorista Dental;2023;109;42.0;151
2024-2025;191;Agropecuaria;Institutos Profesionales;Técnico Veterinario;2023;218;32.0;250
2024-2025;192;Salud;Institutos Profesionales;Terapia Ocupacional;2023;249;37.0;286
