per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;1er año;0.7009803921568627
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;1er año;0.44026974951830444
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;1er año;0.30156143923964696
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;1er año;0.2708407871198569
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;1er año;0.5277628032345013
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;1er año;0.8990825688073395
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;1er año;0.595836162027608
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;1er año;0.6535433070866141
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;1er año;0.7638888888888888
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;1er año;0.7302325581395349
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;1er año;0.7055016181229773
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;1er año;0.6563407550822846
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;1er año;0.595296423321901
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;1er año;0.6498586239396795
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;1er año;0.34498308906426156
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;1er año;0.7417051658966821
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;1er año;0.6853932584269663
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;1er año;0.6628646060078363
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;1er año;0.7475728155339806
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;1er año;0.39034866093986864
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;1er año;0.6162790697674418
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.7575205104831358
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;1er año;0.6364572605561277
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;1er año;0.7229064039408867
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;1er año;0.7705501618122977
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;1er año;0.6713660670879922
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;1er año;0.8805970149253731
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;1er año;0.868421052631579
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;1er año;0.7895569620253164
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;1er año;0.41739130434782606
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;1er año;0.5649769585253456
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;1er año;0.7142857142857143
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;1er año;0.2980132450331126
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);1er año;0.7363636363636363
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;1er año;0.7473684210526316
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;1er año;0.6894736842105263
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;1er año;0.4218487394957983
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;1er año;0.7125171939477304
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;1er año;0.6148723640399556
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;1er año;0.3288135593220339
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;1er año;0.49563318777292575
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;1er año;0.4810606060606061
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;1er año;0.43239795918367346
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;1er año;0.7878963971442803
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;1er año;0.4643019554342883
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;1er año;0.9846342962507683
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;1er año;0.4152227722772277
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;1er año;0.3665480427046263
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;1er año;0.4736238532110092
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;1er año;0.7181542461005199
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;1er año;0.8097854077253219
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;1er año;0.3881856540084388
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;1er año;0.3325301204819277
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;1er año;0.4398563734290844
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;1er año;0.4652014652014652
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;1er año;0.471875
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;1er año;0.580568720379147
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;1er año;0.8983050847457628
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;1er año;0.8066847335140018
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;1er año;0.8279022403258656
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;1er año;0.8605527638190955
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;1er año;0.6611716220194289
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;1er año;0.8335826477187733
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;1er año;0.7661469933184856
2024-2025;97;Ciencias Básicas;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;1er año;0.771689497716895
2024-2025;98;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;1er año;0.904887714663144
2024-2025;100;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;1er año;0.8558951965065502
2024-2025;101;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;1er año;0.6054461181923523
2024-2025;103;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;1er año;0.7632468996617813
2024-2025;104;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;1er año;0.5878048780487805
2024-2025;105;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;1er año;0.8110749185667753
2024-2025;106;Tecnología;Institutos Profesionales;Ingeniería en Minas;1er año;0.7581612258494337
2024-2025;107;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;1er año;0.7633535242290749
2024-2025;108;Tecnología;Institutos Profesionales;Ingeniería en Química;1er año;0.7917888563049853
2024-2025;109;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;1er año;0.7673223066607063
2024-2025;110;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;1er año;0.7864583333333334
2024-2025;111;Administración y Comercio;Institutos Profesionales;Ingeniería en Seguridad Privada;1er año;0.9925271739130435
2024-2025;112;Tecnología;Institutos Profesionales;Ingeniería en Sonido;1er año;0.43006993006993005
2024-2025;113;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;1er año;0.8486352357320099
2024-2025;114;Tecnología;Institutos Profesionales;Ingeniería Industrial;1er año;0.9427127211457456
2024-2025;116;Tecnología;Institutos Profesionales;Ingeniería Mecánica;1er año;0.8674749163879598
2024-2025;117;Salud;Institutos Profesionales;Kinesiología;1er año;0.47643979057591623
2024-2025;118;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;1er año;0.2680965147453083
2024-2025;120;Educación;Institutos Profesionales;Psicopedagogía;1er año;0.5147143681477208
2024-2025;121;Ciencias Sociales;Institutos Profesionales;Publicidad;1er año;0.5659679408138101
2024-2025;123;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;1er año;0.5011135857461024
2024-2025;124;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;1er año;0.5445134575569358
2024-2025;125;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;1er año;0.39770900321543406
2024-2025;126;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;1er año;0.37155337155337154
2024-2025;127;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;1er año;0.5544812197843064
2024-2025;128;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;1er año;0.719449525302674
2024-2025;129;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;1er año;0.6702275894101254
2024-2025;130;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;1er año;0.8156498673740054
2024-2025;133;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;1er año;0.6312407315867523
2024-2025;134;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;1er año;0.8357064622124863
2024-2025;135;Tecnología;Institutos Profesionales;Técnico en Alimentos;1er año;0.5948275862068966
2024-2025;139;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;1er año;0.7587301587301587
2024-2025;140;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;1er año;0.7414616232096952
2024-2025;141;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;1er año;0.40827338129496404
2024-2025;143;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;1er año;0.6563076923076923
2024-2025;144;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;1er año;0.7225896275670032
2024-2025;145;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;1er año;0.6002759889604415
2024-2025;146;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;1er año;0.36922320550639137
2024-2025;147;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;1er año;0.5629496402877698
2024-2025;149;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;1er año;0.3614457831325301
2024-2025;150;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;1er año;0.7482068705171763
2024-2025;151;Tecnología;Institutos Profesionales;Técnico en Electromecánica;1er año;0.7955010224948875
2024-2025;153;Salud;Institutos Profesionales;Técnico en Enfermería;1er año;0.6852802160702228
2024-2025;154;Salud;Institutos Profesionales;Técnico en Farmacia;1er año;0.75
2024-2025;156;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;1er año;0.3968957871396896
2024-2025;157;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;1er año;0.5642857142857143
2024-2025;159;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.9402045633359559
2024-2025;160;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;1er año;0.5810983397190294
2024-2025;161;Administración y Comercio;Institutos Profesionales;Técnico en Logística;1er año;0.8034951456310679
2024-2025;162;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;1er año;0.7690100430416069
2024-2025;163;Salud;Institutos Profesionales;Técnico en Masoterapia;1er año;0.30362116991643456
2024-2025;164;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;1er año;0.6235849056603774
2024-2025;167;Tecnología;Institutos Profesionales;Técnico en Minería;1er año;0.7836490528414756
2024-2025;169;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;1er año;0.24396442185514614
2024-2025;170;Salud;Institutos Profesionales;Técnico en Podología;1er año;0.6593186372745491
2024-2025;171;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;1er año;0.6845386533665836
2024-2025;178;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;1er año;0.7055837563451777
2024-2025;179;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;1er año;0.563953488372093
2024-2025;181;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;1er año;0.48527596543819435
2024-2025;182;Tecnología;Institutos Profesionales;Técnico en Sonido;1er año;0.30718954248366015
2024-2025;183;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;1er año;0.6737967914438503
2024-2025;185;Tecnología;Institutos Profesionales;Técnico en Topografía;1er año;0.7278225806451613
2024-2025;186;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;1er año;0.37566137566137564
2024-2025;188;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;1er año;0.3791773778920309
2024-2025;189;Derecho;Institutos Profesionales;Técnico Jurídico;1er año;0.6404833836858006
2024-2025;190;Salud;Institutos Profesionales;Técnico Laboratorista Dental;1er año;0.4948453608247423
2024-2025;191;Agropecuaria;Institutos Profesionales;Técnico Veterinario;1er año;0.42201834862385323
2024-2025;192;Salud;Institutos Profesionales;Terapia Ocupacional;1er año;0.49697885196374625
2024-2025;193;Ciencias Sociales;Institutos Profesionales;Trabajo Social;1er año;0.6623867069486404
2024-2025;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2do año;0.7333333333333333
2024-2025;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2do año;0.5279138099902057
2024-2025;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2do año;0.3878400888395336
2024-2025;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2do año;0.3474576271186441
2024-2025;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2do año;0.5541022592152199
2024-2025;7;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2do año;0.8695652173913043
2024-2025;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2do año;0.6564523589269196
2024-2025;9;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2do año;0.6781609195402298
2024-2025;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2do año;0.7446808510638298
2024-2025;14;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2do año;0.7451851851851852
2024-2025;18;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2do año;0.7390396659707724
2024-2025;19;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2do año;0.7637840975043528
2024-2025;22;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2do año;0.6257443884562529
2024-2025;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2do año;0.6971830985915493
2024-2025;25;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2do año;0.39349112426035504
2024-2025;29;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2do año;0.7770241627808393
2024-2025;31;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2do año;0.7257383966244726
2024-2025;33;Salud;Centros de Formación Técnica;Técnico en Enfermería;2do año;0.742513912198569
2024-2025;34;Salud;Centros de Formación Técnica;Técnico en Farmacia;2do año;0.781786941580756
2024-2025;36;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2do año;0.410455764075067
2024-2025;37;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;2do año;0.6410256410256411
2024-2025;39;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2do año;0.8237547892720306
2024-2025;40;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2do año;0.6992715920915713
2024-2025;41;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2do año;0.7413321167883211
2024-2025;42;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2do año;0.8145210494203783
2024-2025;44;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2do año;0.7055084745762712
2024-2025;45;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2do año;0.8440860215053764
2024-2025;47;Tecnología;Centros de Formación Técnica;Técnico en Metalurgia;2do año;0.8802816901408451
2024-2025;48;Tecnología;Centros de Formación Técnica;Técnico en Minería;2do año;0.7906976744186046
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;2do año;0.48668280871670705
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2do año;0.6311300639658849
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2do año;0.7659574468085106
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2do año;0.39473684210526316
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2do año;0.7531645569620253
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2do año;0.7513227513227513
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2do año;0.7990654205607477
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2do año;0.4948311509303928
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2do año;0.7797927461139896
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2do año;0.6967545638945233
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2do año;0.3661753297129558
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;2do año;0.5541871921182266
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2do año;0.4775510204081633
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2do año;0.5172955974842768
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2do año;0.818707975146821
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2do año;0.4928348909657321
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;2do año;0.9868421052631579
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2do año;0.49038461538461536
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;2do año;0.4918032786885246
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2do año;0.5466998754669987
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;2do año;0.7594909404659189
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;2do año;0.8427152317880795
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2do año;0.5099601593625498
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2do año;0.4861878453038674
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2do año;0.5385985748218527
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;2do año;0.6164383561643836
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;2do año;0.6455696202531646
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2do año;0.6521739130434783
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2do año;0.9529411764705882
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2do año;0.84375
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2do año;0.8954783003862758
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2do año;0.9003412969283277
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2do año;0.7163369495851947
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2do año;0.8668730650154799
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2do año;0.8236074270557029
2024-2025;97;Ciencias Básicas;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2do año;0.856
2024-2025;98;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2do año;0.9275590551181102
2024-2025;100;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2do año;0.8919491525423728
2024-2025;101;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2do año;0.7174052665382146
2024-2025;103;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2do año;0.8021531944934698
2024-2025;104;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2do año;0.6888217522658611
2024-2025;105;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2do año;0.8253424657534246
2024-2025;106;Tecnología;Institutos Profesionales;Ingeniería en Minas;2do año;0.8030864197530864
2024-2025;107;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2do año;0.7887554585152838
2024-2025;108;Tecnología;Institutos Profesionales;Ingeniería en Química;2do año;0.8464163822525598
2024-2025;109;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2do año;0.8099733720648753
2024-2025;110;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2do año;0.8623188405797102
2024-2025;111;Administración y Comercio;Institutos Profesionales;Ingeniería en Seguridad Privada;2do año;0.9930981595092024
2024-2025;112;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2do año;0.4592274678111588
2024-2025;113;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2do año;0.8780841799709724
2024-2025;114;Tecnología;Institutos Profesionales;Ingeniería Industrial;2do año;0.94375
2024-2025;116;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2do año;0.8875393612235718
2024-2025;117;Salud;Institutos Profesionales;Kinesiología;2do año;0.7003154574132492
2024-2025;118;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;2do año;0.33015873015873015
2024-2025;120;Educación;Institutos Profesionales;Psicopedagogía;2do año;0.5870317002881844
2024-2025;121;Ciencias Sociales;Institutos Profesionales;Publicidad;2do año;0.6542185338865837
2024-2025;123;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2do año;0.6109785202863962
2024-2025;124;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2do año;0.6635514018691588
2024-2025;125;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2do año;0.47383143836852554
2024-2025;126;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2do año;0.4329639889196676
2024-2025;127;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2do año;0.5888181174805379
2024-2025;128;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2do año;0.7348733114858924
2024-2025;129;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2do año;0.707918649935093
2024-2025;130;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2do año;0.8073593073593074
2024-2025;133;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2do año;0.6960828455650608
2024-2025;134;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2do año;0.9238095238095239
2024-2025;135;Tecnología;Institutos Profesionales;Técnico en Alimentos;2do año;0.7063492063492064
2024-2025;139;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2do año;0.784037558685446
2024-2025;140;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2do año;0.8008163265306123
2024-2025;141;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2do año;0.4402618657937807
2024-2025;143;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2do año;0.6524356869184456
2024-2025;144;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2do año;0.7514265335235378
2024-2025;145;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2do año;0.7269338303821062
2024-2025;146;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2do año;0.4171988080034057
2024-2025;147;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2do año;0.6383333333333333
2024-2025;149;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2do año;0.3878504672897196
2024-2025;150;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2do año;0.7814829344841114
2024-2025;151;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2do año;0.8359133126934984
2024-2025;153;Salud;Institutos Profesionales;Técnico en Enfermería;2do año;0.7269068484258357
2024-2025;154;Salud;Institutos Profesionales;Técnico en Farmacia;2do año;0.8157894736842105
2024-2025;156;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2do año;0.4417808219178082
2024-2025;157;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2do año;0.5138888888888888
2024-2025;159;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2do año;0.9252336448598131
2024-2025;160;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2do año;0.6749654218533887
2024-2025;161;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2do año;0.8203125
2024-2025;162;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2do año;0.8160919540229885
2024-2025;163;Salud;Institutos Profesionales;Técnico en Masoterapia;2do año;0.3862212943632568
2024-2025;164;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2do año;0.6861995753715499
2024-2025;167;Tecnología;Institutos Profesionales;Técnico en Minería;2do año;0.7867575462512172
2024-2025;169;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2do año;0.29448818897637796
2024-2025;170;Salud;Institutos Profesionales;Técnico en Podología;2do año;0.6780104712041884
2024-2025;171;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2do año;0.6632200886262924
2024-2025;178;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2do año;0.7506775067750677
2024-2025;179;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2do año;0.642512077294686
2024-2025;181;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2do año;0.5220870678617158
2024-2025;182;Tecnología;Institutos Profesionales;Técnico en Sonido;2do año;0.41201716738197425
2024-2025;183;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2do año;0.7377622377622378
2024-2025;185;Tecnología;Institutos Profesionales;Técnico en Topografía;2do año;0.7523992322456814
2024-2025;186;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;2do año;0.4878048780487805
2024-2025;188;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2do año;0.47688410386320457
