per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2020-2021;127;Administración y Comercio;Instituto Profesional;Técnico en Turismo y Hotelería;2do año;0.47609561764940245
2020-2021;128;Derecho;Instituto Profesional;Técnico Jurídico;2do año;0.6427525624875549
2020-2021;129;Salud;Instituto Profesional;Técnico Laboratorista Dental;2do año;0.535353535348485
2020-2021;130;Agropecuaria;Instituto Profesional;Técnico Veterinario;2do año;0.45372460494582395
2020-2021;131;Salud;Instituto Profesional;Terapia Ocupacional;2do año;0.6880000000400001
2020-2021;132;Ciencias Sociales;Instituto Profesional;Trabajo Social;2do año;0.7632190587774549
2019-2020;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;1er año;0.699701317715959
2019-2020;2;Salud;Centros de Formación Técnica;Técnico Agente o Visitador Médico;1er año;0.7388656716417911
2019-2020;3;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;1er año;0.47801353013530135
2019-2020;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;1er año;0.40682768655165247
2019-2020;5;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;1er año;0.23756452369779446
2019-2020;6;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;1er año;0.5585857503152585
2019-2020;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;1er año;0.6981817614770459
2019-2020;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;1er año;0.72090112640801
2019-2020;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;1er año;0.752082621082621
2019-2020;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;1er año;0.7527191011235954
2019-2020;11;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración Financiera y Finanzas;1er año;0.815879120879121
2019-2020;12;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;1er año;0.7547335701598579
2019-2020;13;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;1er año;0.7211813333333333
2019-2020;14;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;1er año;0.7215757575757576
2019-2020;15;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;1er año;0.5797155612244898
2019-2020;16;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;1er año;0.7322015625
2019-2020;17;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;1er año;0.35235740878629934
2019-2020;18;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Dibujo Arquitectónico;1er año;0.726775956284153
2019-2020;19;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;1er año;0.7298260869565217
2019-2020;20;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;1er año;0.7229299363057324
2019-2020;21;Salud;Centros de Formación Técnica;Técnico en Enfermería;1er año;0.5561502652989034
2019-2020;22;Salud;Centros de Formación Técnica;Técnico en Farmacia;1er año;0.8023598820058997
2019-2020;23;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;1er año;0.4006397562833206
2019-2020;24;Ciencias Básicas;Centros de Formación Técnica;Técnico en Geominería;1er año;0.5201359999999999
2019-2020;25;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.795325513196481
2019-2020;26;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;1er año;0.5564521072796935
2019-2020;27;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;1er año;0.828900293255132
2019-2020;28;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;1er año;0.7041378205128205
2019-2020;29;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;1er año;0.6292844415471535
2019-2020;30;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;1er año;0.7518702928870293
2019-2020;31;Tecnología;Centros de Formación Técnica;Técnico en Minería y Metalurgia;1er año;0.6124314115308152
2019-2020;32;Salud;Centros de Formación Técnica;Técnico en Podología;1er año;0.36820866141732284
