per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio
7;0.0;0;1;40;1.0;0.6244897959183675;0.4518905526534326
7;0.010416666666666685;1;1;45;1.0;0.5104427736006685;0.4518905526534326
7;0.015625;6;1;47;1.0;0.6755943913838653;0.4518905526534326
7;0.02083333333333337;6;1;46;1.0;0.6715732153492726;0.4518905526534326
7;0.026041666666666685;8;1;48;1.0;0.6969765089355963;0.4518905526534326
7;0.03125;1;1;52;1.0;0.648754914809961;0.4518905526534326
7;0.03645833333333337;0;1;55;1.0;0.5090673575129534;0.4518905526534326
7;0.04166666666666674;0;1;56;1.0;0.7189504373177844;0.4518905526534326
7;0.05208333333333337;0;1;58;1.0;0.6602316602316605;0.4518905526534326
7;0.06770833333333337;4;1;54;1.0;0.47742413027387115;0.4518905526534326
7;0.08854166666666669;0;1;63;1.0;0.49902152641878667;0.4518905526534326
7;0.09375;9;1;64;1.0;0.4836706977947358;0.4518905526534326
7;0.10937500000000003;9;1;66;1.0;0.2766078542970974;0.4518905526534326
7;0.11458333333333334;0;1;68;1.0;0.6066676414680511;0.4518905526534326
7;0.12500000000000003;6;1;70;1.0;0.6239180497101566;0.4518905526534326
7;0.14583333333333334;9;1;73;1.0;0.45143946096780785;0.4518905526534326
7;0.15625000000000003;9;1;75;1.0;0.675;0.4518905526534326
7;0.16666666666666666;8;1;76;1.0;0.6652452025586356;0.4518905526534326
7;0.17187500000000003;8;1;77;1.0;0.3447498873366383;0.4518905526534326
7;0.18229166666666669;0;1;79;1.0;0.6345315184353113;0.4518905526534326
7;0.18750000000000003;3;1;81;1.0;0.42857142857142855;0.4518905526534326
7;0.19791666666666669;9;1;83;1.0;0.38223938223938236;0.4518905526534326
7;0.203125;8;1;84;1.0;0.7946428571428573;0.4518905526534326
7;0.20833333333333334;0;1;85;1.0;0.45130871596016575;0.4518905526534326
7;0.21354166666666669;9;1;86;1.0;0.5891800507185124;0.4518905526534326
7;0.22395833333333334;9;1;88;1.0;0.4489355137303303;0.4518905526534326
7;0.22916666666666669;9;1;89;1.0;0.24849939975990393;0.4518905526534326
7;0.23958333333333334;9;1;90;1.0;0.03474903474903468;0.4518905526534326
7;0.24479166666666669;9;1;91;1.0;0.3297358704913378;0.4518905526534326
