per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;anio_mat;mat_1er_anio_mujeres;mat_1er_anio_hombres;mat_1er_anio_total;mat_tot_mujeres;mat_tot_hombres;mat_total
2022-2023;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2022;2847.0;1912.0;4759.0;6799.0;4169;10968
2022-2023;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2022;431.0;104.0;535.0;1084.0;248;1332
2022-2023;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;2022;10.0;96.0;106.0;15.0;190;205
2022-2023;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2022;21.0;16.0;37.0;76.0;59;135
2022-2023;11;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2022;438.0;193.0;631.0;1128.0;418;1546
2022-2023;12;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2022;242.0;201.0;443.0;452.0;375;827
2022-2023;13;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2022;304.0;1912.0;2216.0;692.0;5013;5705
2022-2023;14;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2022;375.0;1853.0;2228.0;736.0;3514;4250
2022-2023;15;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2022;630.0;368.0;998.0;1687.0;857;2544
2022-2023;16;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2022;409.0;1390.0;1799.0;1094.0;3320;4414
2022-2023;17;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2022;109.0;2121.0;2230.0;211.0;5000;5211
2022-2023;18;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2022;5.0;75.0;80.0;7.0;209;216
2022-2023;19;Salud;Centros de Formación Técnica;Técnico en Enfermería;2022;6804.0;1346.0;8150.0;16953.0;3121;20074
2022-2023;20;Salud;Centros de Formación Técnica;Técnico en Farmacia;2022;591.0;182.0;773.0;1670.0;433;2103
2022-2023;21;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2022;2319.0;2070.0;4389.0;4772.0;4034;8806
2022-2023;22;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2022;20.0;204.0;224.0;74.0;871;945
2022-2023;23;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2022;453.0;123.0;576.0;1155.0;312;1467
2022-2023;24;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2022;713.0;957.0;1670.0;1637.0;2166;3803
2022-2023;25;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2022;145.0;1379.0;1524.0;320.0;3088;3408
2022-2023;26;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2022;124.0;2656.0;2780.0;205.0;5061;5266
2022-2023;27;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2022;25.0;334.0;359.0;48.0;839;887
2022-2023;28;Tecnología;Centros de Formación Técnica;Técnico en Minería;2022;161.0;399.0;560.0;319.0;721;1040
2022-2023;29;Salud;Centros de Formación Técnica;Técnico en Podología;2022;596.0;42.0;638.0;1220.0;74;1294
2022-2023;30;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2022;24.0;49.0;73.0;89.0;152;241
2022-2023;31;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2022;1.0;56.0;57.0;6.0;128;134
2022-2023;32;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2022;66.0;42.0;108.0;167.0;116;283
2022-2023;33;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2022;63.0;33.0;96.0;174.0;83;257
2022-2023;34;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2022;10.0;143.0;153.0;13.0;188;201
2022-2023;35;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2022;1025.0;190.0;1215.0;3074.0;478;3552
2022-2023;36;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2022;13.0;197.0;210.0;37.0;512;549
2022-2023;37;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2022;117.0;511.0;628.0;253.0;1073;1326
2022-2023;38;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2022;440.0;327.0;767.0;1164.0;767;1931
2022-2023;39;Derecho;Centros de Formación Técnica;Técnico Jurídico;2022;333.0;114.0;447.0;826.0;272;1098
2022-2023;40;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2022;181.0;62.0;243.0;420.0;147;567
2022-2023;41;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2022;763.0;220.0;983.0;1784.0;557;2341
2022-2023;42;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2022;3410.0;2137.0;5547.0;15193.0;9044;24237
2022-2023;43;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2022;938.0;836.0;1774.0;3572.0;2953;6525
2022-2023;44;Ciencias Sociales;Institutos Profesionales;Administración Pública;2022;727.0;479.0;1206.0;2756.0;1677;4433
2022-2023;45;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2022;634.0;301.0;935.0;2966.0;1395;4361
2022-2023;46;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2022;218.0;483.0;701.0;701.0;1520;2221
2022-2023;47;Tecnología;Institutos Profesionales;Construcción Civil;2022;466.0;2062.0;2528.0;1946.0;8670;10616
2022-2023;48;Administración y Comercio;Institutos Profesionales;Contador Auditor;2022;1867.0;1092.0;2959.0;8118.0;4590;12708
2022-2023;49;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2022;189.0;29.0;218.0;615.0;102;717
2022-2023;50;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2022;339.0;66.0;405.0;1158.0;178;1336
2022-2023;51;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2022;805.0;651.0;1456.0;3040.0;2639;5679
2022-2023;52;Tecnología;Institutos Profesionales;Diseño Industrial;2022;115.0;104.0;219.0;339.0;371;710
2022-2023;53;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2022;379.0;512.0;891.0;1788.0;2246;4034
2022-2023;54;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2022;73.0;837.0;910.0;214.0;2773;2987
2022-2023;55;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2022;421.0;369.0;790.0;1649.0;1359;3008
2022-2023;56;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2022;723.0;5311.0;6034.0;1894.0;14681;16575
2022-2023;57;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2022;90.0;939.0;1029.0;312.0;3209;3521
2022-2023;58;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2022;309.0;1136.0;1445.0;1315.0;4814;6129
2022-2023;59;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2022;115.0;2228.0;2343.0;358.0;7248;7606
2022-2023;60;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2022;654.0;621.0;1275.0;2566.0;1800;4366
2022-2023;61;Tecnología;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2022;21.0;121.0;142.0;208.0;741;949
2022-2023;62;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2022;182.0;122.0;304.0;1027.0;608;1635
2022-2023;63;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2022;808.0;1181.0;1989.0;2503.0;3625;6128
2022-2023;64;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2022;409.0;397.0;806.0;1607.0;1402;3009
2022-2023;65;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2022;211.0;4161.0;4372.0;690.0;15691;16381
2022-2023;66;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2022;127.0;90.0;217.0;567.0;437;1004
2022-2023;67;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2022;72.0;122.0;194.0;288.0;431;719
2022-2023;68;Tecnología;Institutos Profesionales;Ingeniería en Minas;2022;304.0;547.0;851.0;1036.0;2121;3157
2022-2023;69;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2022;960.0;932.0;1892.0;3653.0;3802;7455
2022-2023;70;Tecnología;Institutos Profesionales;Ingeniería en Química;2022;40.0;24.0;64.0;325.0;211;536
2022-2023;71;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2022;1196.0;379.0;1575.0;5146.0;1579;6725
2022-2023;72;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2022;0.0;0.0;0.0;7.0;255;262
2022-2023;73;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2022;34.0;320.0;354.0;88.0;1137;1225
2022-2023;74;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2022;30.0;277.0;307.0;191.0;1534;1725
2022-2023;75;Tecnología;Institutos Profesionales;Ingeniería Industrial;2022;214.0;1957.0;2171.0;608.0;4982;5590
2022-2023;76;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2022;1.0;51.0;52.0;163.0;2960;3123
2022-2023;77;Salud;Institutos Profesionales;Kinesiología;2022;163.0;144.0;307.0;745.0;591;1336
2022-2023;78;Salud;Institutos Profesionales;Nutrición y Dietética;2022;150.0;33.0;183.0;652.0;126;778
2022-2023;79;Educación;Institutos Profesionales;Psicopedagogía;2022;2229.0;216.0;2445.0;9597.0;776;10373
2022-2023;80;Ciencias Sociales;Institutos Profesionales;Publicidad;2022;298.0;200.0;498.0;990.0;860;1850
2022-2023;81;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2022;186.0;61.0;247.0;693.0;270;963
2022-2023;82;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2022;138.0;258.0;396.0;401.0;669;1070
2022-2023;83;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2022;3715.0;4.0;3719.0;10698.0;12;10710
2022-2023;84;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2022;1631.0;60.0;1691.0;4846.0;155;5001
2022-2023;85;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2022;1304.0;239.0;1543.0;3380.0;496;3876
2022-2023;86;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2022;3743.0;2276.0;6019.0;9439.0;5624;15063
2022-2023;87;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2022;793.0;257.0;1050.0;2192.0;638;2830
2022-2023;88;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2022;51.0;436.0;487.0;127.0;1226;1353
2022-2023;89;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;2022;63.0;63.0;126.0;105.0;105;210
2022-2023;90;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2022;109.0;120.0;229.0;514.0;414;928
2022-2023;91;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2022;506.0;313.0;819.0;1442.0;940;2382
2022-2023;92;Tecnología;Institutos Profesionales;Técnico en Alimentos;2022;26.0;20.0;46.0;111.0;49;160
2022-2023;93;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2022;341.0;303.0;644.0;794.0;681;1475
2022-2023;94;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2022;480.0;2862.0;3342.0;1011.0;6639;7650
2022-2023;95;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2022;49.0;184.0;233.0;198.0;572;770
2022-2023;96;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2022;338.0;2177.0;2515.0;815.0;4894;5709
2022-2023;97;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2022;1266.0;612.0;1878.0;3185.0;1411;4596
2022-2023;98;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2022;232.0;174.0;406.0;665.0;417;1082
2022-2023;99;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2022;284.0;1166.0;1450.0;830.0;2828;3658
2022-2023;100;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2022;134.0;236.0;370.0;383.0;617;1000
2022-2023;101;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2022;228.0;230.0;458.0;517.0;483;1000
2022-2023;102;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2022;98.0;2370.0;2468.0;205.0;5045;5250
2022-2023;103;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2022;15.0;206.0;221.0;40.0;538;578
2022-2023;104;Salud;Institutos Profesionales;Técnico en Enfermería;2022;8594.0;2000.0;10594.0;21094.0;4440;25534
2022-2023;105;Salud;Institutos Profesionales;Técnico en Farmacia;2022;283.0;132.0;415.0;661.0;264;925
2022-2023;106;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;2022;0.0;0.0;0.0;12.0;15;27
2022-2023;107;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2022;523.0;580.0;1103.0;1161.0;1256;2417
2022-2023;108;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2022;30.0;45.0;75.0;75.0;129;204
2022-2023;109;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2022;135.0;1661.0;1796.0;304.0;3929;4233
2022-2023;110;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2022;231.0;70.0;301.0;633.0;147;780
2022-2023;111;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2022;907.0;1974.0;2881.0;1955.0;4455;6410
2022-2023;112;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2022;33.0;668.0;701.0;64.0;1402;1466
2022-2023;113;Salud;Institutos Profesionales;Técnico en Masoterapia;2022;428.0;195.0;623.0;822.0;333;1155
2022-2023;114;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2022;111.0;2115.0;2226.0;223.0;4584;4807
2022-2023;115;Tecnología;Institutos Profesionales;Técnico en Minería;2022;267.0;977.0;1244.0;535.0;2057;2592
2022-2023;116;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2022;2384.0;107.0;2491.0;5563.0;208;5771
2022-2023;117;Salud;Institutos Profesionales;Técnico en Podología;2022;1102.0;95.0;1197.0;1818.0;150;1968
2022-2023;118;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2022;835.0;877.0;1712.0;1663.0;1979;3642
2022-2023;119;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2022;108.0;74.0;182.0;267.0;151;418
2022-2023;120;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2022;62.0;27.0;89.0;142.0;79;221
2022-2023;121;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2022;3042.0;544.0;3586.0;7864.0;1427;9291
2022-2023;122;Tecnología;Institutos Profesionales;Técnico en Sonido;2022;44.0;502.0;546.0;93.0;1251;1344
2022-2023;123;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2022;23.0;323.0;346.0;45.0;718;763
2022-2023;124;Tecnología;Institutos Profesionales;Técnico en Topografía;2022;40.0;219.0;259.0;128.0;545;673
2022-2023;125;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2022;455.0;346.0;801.0;1288.0;884;2172
2022-2023;126;Derecho;Institutos Profesionales;Técnico Jurídico;2022;767.0;325.0;1092.0;2044.0;833;2877
2022-2023;127;Salud;Institutos Profesionales;Técnico Laboratorista Dental;2022;153.0;81.0;234.0;364.0;170;534
2022-2023;128;Agropecuaria;Institutos Profesionales;Técnico Veterinario;2022;267.0;66.0;333.0;742.0;157;899
2022-2023;129;Salud;Institutos Profesionales;Terapia Ocupacional;2022;235.0;47.0;282.0;1503.0;267;1770
2022-2023;130;Ciencias Sociales;Institutos Profesionales;Trabajo Social;2022;3623.0;731.0;4354.0;15083.0;2927;18010
2021-2022;1;Administración y Comercio;Centro de Formación Técnica;Secretariado Bilingüe;2021;104.0;5.0;109.0;290.0;12;302
2021-2022;2;Agropecuaria;Centro de Formación Técnica;Técnico Agropecuario;2021;767.0;1000.0;1767.0;1564.0;2116;3680
2021-2022;3;Educación;Centro de Formación Técnica;Técnico Asistente del Educador de Párvulos;2021;4137.0;13.0;4150.0;11345.0;33;11378
2021-2022;4;Educación;Centro de Formación Técnica;Técnico Asistente del Educador Diferencial;2021;1933.0;58.0;1991.0;4789.0;133;4922
2021-2022;5;Salud;Centro de Formación Técnica;Técnico Dental y Asistente de Odontología;2021;1185.0;154.0;1339.0;2970.0;382;3352
2021-2022;6;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Empresas;2021;3477.0;2084.0;5561.0;7620.0;4508;12128
2021-2022;7;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2021;537.0;112.0;649.0;1196.0;288;1484
2021-2022;8;Tecnología;Centro de Formación Técnica;Técnico en Administración de Redes y Soporte;2021;21.0;144.0;165.0;33.0;257;290
2021-2022;9;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Ventas;2021;23.0;18.0;41.0;94.0;69;163
2021-2022;10;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración Financiera y Finanzas;2021;21.0;19.0;40.0;57.0;51;108
2021-2022;11;Ciencias Sociales;Centro de Formación Técnica;Técnico en Administración Pública o Municipal;2021;621.0;189.0;810.0;1261.0;391;1652
2021-2022;12;Administración y Comercio;Centro de Formación Técnica;Técnico en Comercio Exterior;2021;143.0;105.0;248.0;442.0;332;774
2021-2022;13;Tecnología;Centro de Formación Técnica;Técnico en Computación e Informática;2021;282.0;1927.0;2209.0;631.0;4956;5587
2021-2022;14;Tecnología;Centro de Formación Técnica;Técnico en Construcción y Obras Civiles;2021;405.0;1854.0;2259.0;716.0;3287;4003
2021-2022;15;Administración y Comercio;Centro de Formación Técnica;Técnico en Contabilidad General;2021;897.0;416.0;1313.0;1963.0;947;2910
2021-2022;16;Educación;Centro de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2021;462.0;1364.0;1826.0;1281.0;3411;4692
2021-2022;17;Tecnología;Centro de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2021;82.0;2107.0;2189.0;196.0;5067;5263
2021-2022;18;Tecnología;Centro de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2021;4.0;136.0;140.0;19.0;295;314
2021-2022;19;Salud;Centro de Formación Técnica;Técnico en Enfermería;2021;6597.0;1298.0;7895.0;16175.0;2985;19160
2021-2022;20;Salud;Centro de Formación Técnica;Técnico en Farmacia;2021;663.0;156.0;819.0;1592.0;368;1960
2021-2022;21;Administración y Comercio;Centro de Formación Técnica;Técnico en Gastronomía y Cocina;2021;2298.0;1794.0;4092.0;4412.0;3625;8037
2021-2022;22;Tecnología;Centro de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2021;24.0;308.0;332.0;151.0;1972;2123
2021-2022;23;Salud;Centro de Formación Técnica;Técnico en Laboratorio Clínico;2021;414.0;106.0;520.0;1222.0;320;1542
2021-2022;24;Administración y Comercio;Centro de Formación Técnica;Técnico en Logística;2021;760.0;1072.0;1832.0;1645.0;2225;3870
2021-2022;25;Tecnología;Centro de Formación Técnica;Técnico en Mantenimiento Industrial;2021;144.0;1542.0;1686.0;330.0;3326;3656
2021-2022;26;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Automotriz;2021;108.0;2603.0;2711.0;184.0;4968;5152
2021-2022;27;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Industrial;2021;13.0;343.0;356.0;26.0;844;870
2021-2022;28;Tecnología;Centro de Formación Técnica;Técnico en Minería y Metalurgia;2021;144.0;340.0;484.0;348.0;706;1054
2021-2022;29;Salud;Centro de Formación Técnica;Técnico en Podología;2021;486.0;31.0;517.0;1078.0;66;1144
2021-2022;30;Tecnología;Centro de Formación Técnica;Técnico en Prevención de Riesgos;2021;37.0;80.0;117.0;157.0;216;373
2021-2022;31;Tecnología;Centro de Formación Técnica;Técnico en Procesos Industriales;2021;2.0;94.0;96.0;9.0;173;182
2021-2022;32;Arte y Arquitectura;Centro de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2021;0.0;0.0;0.0;170.0;204;374
2021-2022;33;Ciencias Básicas;Centro de Formación Técnica;Técnico en Química (Análisis e Industrial);2021;14.0;15.0;29.0;198.0;135;333
2021-2022;34;Salud;Centro de Formación Técnica;Técnico en Radiología y Radioterapia;2021;75.0;37.0;112.0;195.0;85;280
2021-2022;35;Tecnología;Centro de Formación Técnica;Técnico en Refrigeración y Climatización;2021;2.0;8.0;10.0;5.0;136;141
2021-2022;36;Ciencias Sociales;Centro de Formación Técnica;Técnico en Servicio Social;2021;1546.0;210.0;1756.0;3317.0;498;3815
2021-2022;37;Tecnología;Centro de Formación Técnica;Técnico en Telecomunicaciones;2021;28.0;288.0;316.0;61.0;730;791
2021-2022;38;Salud;Centro de Formación Técnica;Técnico en Terapias Naturales y Naturopatía;2021;78.0;14.0;92.0;212.0;32;244
2021-2022;39;Tecnología;Centro de Formación Técnica;Técnico en Topografía;2021;129.0;475.0;604.0;265.0;998;1263
2021-2022;40;Administración y Comercio;Centro de Formación Técnica;Técnico en Turismo y Hotelería;2021;578.0;355.0;933.0;1370.0;886;2256
2021-2022;41;Derecho;Centro de Formación Técnica;Técnico Jurídico;2021;401.0;124.0;525.0;843.0;280;1123
2021-2022;42;Salud;Centro de Formación Técnica;Técnico Laboratorista Dental;2021;170.0;63.0;233.0;396.0;152;548
2021-2022;43;Agropecuaria;Centro de Formación Técnica;Técnico Veterinario;2021;765.0;246.0;1011.0;1507.0;508;2015
2021-2022;44;Administración y Comercio;Instituto Profesional;Administración de Empresas e Ing. Asociadas;2021;3035.0;1863.0;4898.0;14075.0;8561;22636
2021-2022;45;Administración y Comercio;Instituto Profesional;Administración Gastronómica;2021;886.0;714.0;1600.0;3568.0;2815;6383
2021-2022;46;Ciencias Sociales;Instituto Profesional;Administración Pública;2021;632.0;376.0;1008.0;2260.0;1316;3576
2021-2022;47;Administración y Comercio;Instituto Profesional;Administración Turística y Hotelera;2021;702.0;335.0;1037.0;3195.0;1534;4729
2021-2022;48;Arte y Arquitectura;Instituto Profesional;Comunicación Audiovisual y/o Multimedia;2021;165.0;360.0;525.0;650.0;1416;2066
2021-2022;49;Tecnología;Instituto Profesional;Construcción Civil;2021;441.0;1999.0;2440.0;1999.0;8936;10935
2021-2022;50;Administración y Comercio;Instituto Profesional;Contador Auditor;2021;2168.0;1162.0;3330.0;8432.0;4748;13180
2021-2022;51;Arte y Arquitectura;Instituto Profesional;Diseño de Ambientes e Interiores;2021;165.0;21.0;186.0;589.0;98;687
2021-2022;52;Arte y Arquitectura;Instituto Profesional;Diseño de Vestuario;2021;344.0;43.0;387.0;1238.0;170;1408
2021-2022;53;Arte y Arquitectura;Instituto Profesional;Diseño Gráfico;2021;792.0;694.0;1486.0;3011.0;2837;5848
2021-2022;54;Tecnología;Instituto Profesional;Diseño Industrial;2021;104.0;108.0;212.0;330.0;385;715
2021-2022;55;Agropecuaria;Instituto Profesional;Ingeniería Agrícola;2021;395.0;490.0;885.0;1810.0;2333;4143
2021-2022;56;Tecnología;Instituto Profesional;Ingeniería en Automatización, Instrumentación y Control;2021;51.0;516.0;567.0;131.0;1407;1538
2021-2022;57;Administración y Comercio;Instituto Profesional;Ingeniería en Comercio Exterior;2021;300.0;278.0;578.0;1505.0;1204;2709
2021-2022;58;Tecnología;Instituto Profesional;Ingeniería en Computación e Informática;2021;639.0;4706.0;5345.0;1590.0;12624;14214
2021-2022;59;Tecnología;Instituto Profesional;Ingeniería en Conectividad y Redes;2021;76.0;726.0;802.0;338.0;3120;3458
2021-2022;60;Tecnología;Instituto Profesional;Ingeniería en Construcción;2021;299.0;1084.0;1383.0;1438.0;5065;6503
2021-2022;61;Tecnología;Instituto Profesional;Ingeniería en Electricidad;2021;79.0;1642.0;1721.0;301.0;5836;6137
2021-2022;62;Administración y Comercio;Instituto Profesional;Ingeniería en Finanzas;2021;988.0;706.0;1694.0;2415.0;1518;3933
2021-2022;63;Ciencias Sociales;Instituto Profesional;Ingeniería en Gestión Pública;2021;168.0;90.0;258.0;968.0;512;1480
2021-2022;64;Administración y Comercio;Instituto Profesional;Ingeniería en Logística;2021;734.0;903.0;1637.0;1914.0;2662;4576
2021-2022;65;Administración y Comercio;Instituto Profesional;Ingeniería en Marketing;2021;341.0;295.0;636.0;1521.0;1415;2936
2021-2022;66;Tecnología;Instituto Profesional;Ingeniería en Mecánica Automotriz;2021;187.0;3730.0;3917.0;647.0;15248;15895
2021-2022;67;Tecnología;Instituto Profesional;Ingeniería en Medio Ambiente;2021;147.0;120.0;267.0;631.0;501;1132
2021-2022;68;Tecnología;Instituto Profesional;Ingeniería en Minas y Metalurgia;2021;283.0;656.0;939.0;1349.0;2552;3901
2021-2022;69;Tecnología;Instituto Profesional;Ingeniería en Prevención de Riesgos;2021;867.0;921.0;1788.0;3816.0;3828;7644
2021-2022;70;Tecnología;Instituto Profesional;Ingeniería en Química;2021;48.0;34.0;82.0;369.0;265;634
2021-2022;71;Administración y Comercio;Instituto Profesional;Ingeniería en Recursos Humanos;2021;1087.0;325.0;1412.0;5305.0;1605;6910
2021-2022;72;Tecnología;Instituto Profesional;Ingeniería en Refrigeración y Climatización;2021;0.0;0.0;0.0;9.0;354;363
2021-2022;73;Administración y Comercio;Instituto Profesional;Ingeniería en Seguridad Privada;2021;84.0;506.0;590.0;436.0;2348;2784
2021-2022;74;Tecnología;Instituto Profesional;Ingeniería en Telecomunicaciones;2021;51.0;319.0;370.0;231.0;1785;2016
2021-2022;75;Tecnología;Instituto Profesional;Ingeniería Industrial;2021;149.0;1309.0;1458.0;438.0;3752;4190
2021-2022;76;Tecnología;Instituto Profesional;Ingeniería Mecánica;2021;53.0;829.0;882.0;226.0;4150;4376
2021-2022;77;Salud;Instituto Profesional;Kinesiología;2021;165.0;157.0;322.0;775.0;579;1354
2021-2022;78;Educación;Instituto Profesional;Psicopedagogía;2021;2066.0;205.0;2271.0;8764.0;793;9557
2021-2022;79;Ciencias Sociales;Instituto Profesional;Publicidad;2021;266.0;216.0;482.0;975.0;895;1870
2021-2022;80;Ciencias Sociales;Instituto Profesional;Relaciones Públicas;2021;193.0;59.0;252.0;719.0;294;1013
2021-2022;81;Agropecuaria;Instituto Profesional;Técnico Agropecuario;2021;177.0;259.0;436.0;429.0;604;1033
2021-2022;82;Educación;Instituto Profesional;Técnico Asistente del Educador de Párvulos;2021;3710.0;11.0;3721.0;12065.0;21;12086
2021-2022;83;Educación;Instituto Profesional;Técnico Asistente del Educador Diferencial;2021;1690.0;56.0;1746.0;5312.0;191;5503
2021-2022;84;Salud;Instituto Profesional;Técnico Dental y Asistente de Odontología;2021;1290.0;213.0;1503.0;3450.0;471;3921
2021-2022;85;Administración y Comercio;Instituto Profesional;Técnico en Administración de Empresas;2021;3362.0;2264.0;5626.0;8971.0;5798;14769
2021-2022;86;Administración y Comercio;Instituto Profesional;Técnico en Administración de Recursos Humanos y Personal;2021;879.0;250.0;1129.0;2349.0;699;3048
2021-2022;87;Tecnología;Instituto Profesional;Técnico en Administración de Redes y Soporte;2021;43.0;425.0;468.0;147.0;1496;1643
2021-2022;88;Administración y Comercio;Instituto Profesional;Técnico en Administración de Ventas;2021;33.0;39.0;72.0;95.0;86;181
