per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;anio_mat;dist_mat_mun;dist_mat_part;dist_mat_pag;dist_mat_adm
2024-2025;51;Salud;Centros de Formación Técnica;Técnico en Podología;2024;0.44260700389105057;0.5;0.005836575875486381;0.05155642023346303
2024-2025;52;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2024;0.524070021881838;0.437636761487965;0.010940919037199124;0.02735229759299781
2024-2025;53;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2024;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
2024-2025;54;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2024;0.3188405797101449;0.5942028985507246;0.07246376811594203;0.014492753623188406
2024-2025;55;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2024;0.3424124513618677;0.4708171206225681;0.0311284046692607;0.1556420233463035
2024-2025;56;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2024;0.3128205128205128;0.6102564102564103;0.015384615384615385;0.06153846153846154
2024-2025;57;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2024;0.3669250645994832;0.537467700258398;0.015503875968992248;0.08010335917312661
2024-2025;59;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2024;0.5193050193050193;0.4451737451737452;0.007722007722007722;0.027799227799227798
2024-2025;60;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2024;0.33073929961089493;0.5350194552529183;0.04474708171206226;0.08949416342412451
2024-2025;62;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2024;0.477116704805492;0.47254004576659037;0.014874141876430207;0.03546910755148741
2024-2025;64;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2024;0.4207893274041134;0.50917176209005;0.033351862145636464;0.03668704836020011
2024-2025;66;Derecho;Centros de Formación Técnica;Técnico Jurídico;2024;0.38529088913282106;0.575192096597146;0.013172338090010977;0.026344676180021953
2024-2025;67;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2024;0.4053156146179402;0.5564784053156147;0.009966777408637873;0.02823920265780731
2024-2025;68;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2024;0.41952414275717287;0.5062981105668299;0.018894331700489854;0.055283414975507345
2024-2025;70;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2024;0.428847679492265;0.49171955573185244;0.027370091233637445;0.05206267354224514
2024-2025;71;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2024;0.30295971499040836;0.5613866812825432;0.08769525897506165;0.04795834475198685
2024-2025;72;Ciencias Sociales;Institutos Profesionales;Administración Pública;2024;0.42323651452282157;0.5043089690392595;0.01851260772422598;0.05394190871369295
2024-2025;73;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2024;0.2888005959771542;0.6019369257511795;0.06903402036255277;0.04022845790911348
2024-2025;74;Arte y Arquitectura;Institutos Profesionales;Animación Digital;2024;0.24784154393092941;0.6175723717623159;0.10005078720162519;0.03453529710512951
2024-2025;75;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2024;0.29127857747671465;0.5927180355630821;0.07281964436917866;0.04318374259102455
2024-2025;76;Tecnología;Institutos Profesionales;Construcción Civil;2024;0.39838006230529593;0.5096573208722741;0.015202492211838007;0.0767601246105919
2024-2025;77;Administración y Comercio;Institutos Profesionales;Contador Auditor;2024;0.34763746109591626;0.5551259077619541;0.015750259360558332;0.08148637178157125
2024-2025;78;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2024;0.20418204182041821;0.6174661746617466;0.14268142681426815;0.03567035670356704
2024-2025;79;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2024;0.25863284002818887;0.5849189570119803;0.12332628611698379;0.03312191684284708
2024-2025;80;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2024;0.2963457366928083;0.5986984815618221;0.05906891373268813;0.045886868012681464
2024-2025;81;Tecnología;Institutos Profesionales;Diseño Industrial;2024;0.2517482517482518;0.5706293706293706;0.13986013986013987;0.03776223776223776
2024-2025;82;Salud;Institutos Profesionales;Fonoaudiología;2024;0.30483870967741933;0.6532258064516129;0.0064516129032258064;0.035483870967741936
2024-2025;84;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2024;0.3637469586374696;0.5197080291970803;0.026277372262773723;0.0902676399026764
2024-2025;87;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2024;0.423535510627268;0.4525660964230171;0.019699326075686883;0.104199066874028
2024-2025;88;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2024;0.2838749233599019;0.5947271612507664;0.055793991416309016;0.06560392397302268
2024-2025;89;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2024;0.31661600810536983;0.583080040526849;0.04218476558902091;0.05811918577876025
2024-2025;90;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2024;0.3028708133971292;0.5933014354066986;0.027033492822966507;0.07679425837320575
2024-2025;91;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2024;0.3489655172413793;0.5574137931034483;0.018275862068965518;0.07534482758620689
2024-2025;93;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2024;0.37601339443073667;0.4969157560803666;0.011808248149453648;0.11526260133944308
2024-2025;96;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2024;0.28446436192915064;0.6058472044387537;0.041613316261203584;0.06807511737089202
2024-2025;97;Ciencias Básicas;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2024;0.44198174706649285;0.5045632333767927;0.011734028683181226;0.041720990873533245
2024-2025;98;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2024;0.4874551971326165;0.46236559139784944;0.010752688172043012;0.03942652329749104
2024-2025;100;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2024;0.34464327213571927;0.5578666046943993;0.014989542179874506;0.08250058099000697
2024-2025;101;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2024;0.2265886287625418;0.632943143812709;0.09503901895206243;0.045429208472686736
2024-2025;103;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2024;0.3326776748278896;0.5608468347222941;0.030436357989543972;0.07603913246027227
2024-2025;104;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2024;0.2994219653179191;0.6208092485549133;0.04277456647398844;0.03699421965317919
2024-2025;105;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2024;0.6121212121212121;0.3515151515151515;0.01818181818181818;0.01818181818181818
2024-2025;106;Tecnología;Institutos Profesionales;Ingeniería en Minas;2024;0.5172875306714254;0.4059781396386348;0.019852777158153024;0.05688155253178675
2024-2025;107;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2024;0.4461513049223654;0.4872811364387182;0.021968946151304923;0.044598612487611496
2024-2025;108;Tecnología;Institutos Profesionales;Ingeniería en Química;2024;0.4441340782122905;0.4888268156424581;0.01675977653631285;0.05027932960893855
2024-2025;109;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2024;0.32061328790459964;0.585519591141397;0.014821124361158433;0.07904599659284497
2024-2025;110;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2024;0.2743362831858407;0.6106194690265486;0.02654867256637168;0.08849557522123894
2024-2025;111;Administración y Comercio;Institutos Profesionales;Ingeniería en Seguridad Privada;2024;0.5284090909090909;0.4050324675324675;0.008928571428571428;0.05762987012987013
2024-2025;112;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2024;0.26288951841359776;0.5937677053824363;0.10651558073654391;0.036827195467422094
2024-2025;113;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2024;0.3362204724409449;0.5385826771653544;0.014960629921259842;0.11023622047244094
2024-2025;114;Tecnología;Institutos Profesionales;Ingeniería Industrial;2024;0.47024535719127014;0.4091093940626271;0.015182323437711807;0.10546292530839095
2024-2025;116;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2024;0.4059485530546624;0.4252411575562701;0.023311897106109324;0.1454983922829582
2024-2025;117;Salud;Institutos Profesionales;Kinesiología;2024;0.3760361718161266;0.5508666164280331;0.012057272042200452;0.06103993971363979
2024-2025;118;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;2024;0.22860125260960334;0.5036534446764092;0.23695198329853862;0.030793319415448852
2024-2025;120;Educación;Institutos Profesionales;Psicopedagogía;2024;0.4478851116346909;0.4870414002019522;0.015819589363850556;0.04925389879950634
2024-2025;121;Ciencias Sociales;Institutos Profesionales;Publicidad;2024;0.23557692307692307;0.6412259615384616;0.0907451923076923;0.03245192307692308
2024-2025;123;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2024;0.2543978349120433;0.577807848443843;0.14614343707713126;0.02165087956698241
2024-2025;124;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2024;0.3746630727762803;0.5309973045822103;0.029649595687331536;0.0646900269541779
2024-2025;125;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2024;0.4853454291695743;0.44742963479879044;0.018957897185391953;0.04826703884624331
2024-2025;126;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2024;0.49816657936092196;0.4429020429544264;0.010476689366160294;0.048454688318491354
2024-2025;127;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2024;0.370391378332388;0.5748723766307431;0.009075439591605219;0.045660805445263755
2024-2025;128;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2024;0.41599919903884663;0.49499399279134965;0.04195034040849019;0.04705646776131358
2024-2025;129;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2024;0.43745907007203666;0.4839554682383759;0.028814669286182055;0.04977079240340537
2024-2025;130;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2024;0.35958395245170877;0.5393759286775631;0.04457652303120357;0.05646359583952452
2024-2025;133;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2024;0.2862190812720848;0.5759717314487632;0.06007067137809187;0.07773851590106007
2024-2025;134;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2024;0.4521604938271605;0.47762345679012347;0.021604938271604937;0.04861111111111111
2024-2025;135;Tecnología;Institutos Profesionales;Técnico en Alimentos;2024;0.4177215189873418;0.5569620253164557;0.0;0.02531645569620253
2024-2025;139;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2024;0.32757130509939497;0.5635263612791702;0.05185825410544512;0.05704407951598963
2024-2025;140;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2024;0.32365690266649155;0.570865624589518;0.05503743596479706;0.05044003677919349
2024-2025;141;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2024;0.23851590106007067;0.5901060070671378;0.13427561837455831;0.037102473498233215
2024-2025;143;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2024;0.4171294942999123;0.4969307220111079;0.019584916691026015;0.06635486699795382
2024-2025;144;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2024;0.4373198847262248;0.473342939481268;0.03025936599423631;0.059077809798270896
2024-2025;145;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2024;0.252361673414305;0.6464237516869096;0.02564102564102564;0.07557354925775979
2024-2025;146;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2024;0.3182679296346414;0.5889039242219215;0.04546684709066306;0.04736129905277402
2024-2025;147;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2024;0.2718562874251497;0.6023952095808384;0.037125748502994015;0.08862275449101796
2024-2025;149;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2024;0.36989498249708286;0.5355892648774796;0.051341890315052506;0.043173862310385065
2024-2025;150;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2024;0.4349934713672822;0.45010259279985076;0.018280171609774295;0.09662376422309271
2024-2025;151;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2024;0.47058823529411764;0.428842504743833;0.028462998102466792;0.07210626185958255
2024-2025;153;Salud;Institutos Profesionales;Técnico en Enfermería;2024;0.43220885259991404;0.5039213579716373;0.017619252256123763;0.046250537172324885
2024-2025;154;Salud;Institutos Profesionales;Técnico en Farmacia;2024;0.34748700173310226;0.598786828422877;0.01559792027729636;0.038128249566724434
2024-2025;156;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2024;0.3473108477666363;0.5464904284412033;0.04831358249772106;0.05788514129443938
2024-2025;157;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2024;0.29381443298969073;0.6443298969072165;0.04639175257731959;0.015463917525773196
2024-2025;159;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2024;0.5216174183514775;0.3788491446345257;0.018351477449455676;0.08118195956454122
2024-2025;160;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2024;0.3828016643550624;0.5672676837725381;0.018030513176144243;0.0319001386962552
2024-2025;161;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2024;0.41144156090168593;0.5089979162720212;0.01629096419776473;0.06326955862852814
2024-2025;162;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2024;0.4689655172413793;0.42482758620689653;0.017241379310344827;0.08896551724137931
2024-2025;163;Salud;Institutos Profesionales;Técnico en Masoterapia;2024;0.3817527010804322;0.5438175270108043;0.03241296518607443;0.04201680672268908
2024-2025;164;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2024;0.3622545915136162;0.5406375343044121;0.023643656322567024;0.07346421785940468
2024-2025;167;Tecnología;Institutos Profesionales;Técnico en Minería;2024;0.5330909090909091;0.3941818181818182;0.024;0.04872727272727273
2024-2025;169;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2024;0.37819460726846427;0.5533411488862837;0.02719812426729191;0.04126611957796014
2024-2025;170;Salud;Institutos Profesionales;Técnico en Podología;2024;0.472636815920398;0.46766169154228854;0.014925373134328358;0.04477611940298507
2024-2025;171;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2024;0.5162758137906895;0.42737136856842844;0.024501225061253063;0.03185159257962898
2024-2025;178;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2024;0.2864864864864865;0.6432432432432432;0.04054054054054054;0.02972972972972973
2024-2025;179;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2024;0.37404580152671757;0.5114503816793893;0.0916030534351145;0.022900763358778626
2024-2025;181;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2024;0.5112394308104764;0.4431841616828212;0.01278614147246855;0.032790266034233864
2024-2025;182;Tecnología;Institutos Profesionales;Técnico en Sonido;2024;0.2992565055762082;0.5622676579925651;0.09200743494423792;0.046468401486988845
2024-2025;183;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2024;0.3502235469448584;0.5737704918032787;0.02384500745156483;0.05216095380029806
2024-2025;185;Tecnología;Institutos Profesionales;Técnico en Topografía;2024;0.473604826546003;0.4555052790346908;0.033182503770739065;0.03770739064856712
2024-2025;186;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;2024;0.24096385542168675;0.5783132530120482;0.13855421686746988;0.04216867469879518
2024-2025;188;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2024;0.33714670255720053;0.5706594885598923;0.05114401076716016;0.04104979811574697
2024-2025;189;Derecho;Institutos Profesionales;Técnico Jurídico;2024;0.42657807308970097;0.5043189368770764;0.02857142857142857;0.04053156146179402
2024-2025;190;Salud;Institutos Profesionales;Técnico Laboratorista Dental;2024;0.3582089552238806;0.5447761194029851;0.04477611940298507;0.05223880597014925
2024-2025;191;Agropecuaria;Institutos Profesionales;Técnico Veterinario;2024;0.3448275862068966;0.5944827586206897;0.023448275862068966;0.037241379310344824
2024-2025;192;Salud;Institutos Profesionales;Terapia Ocupacional;2024;0.3675675675675676;0.5899613899613899;0.007722007722007722;0.03474903474903475
2024-2025;193;Ciencias Sociales;Institutos Profesionales;Trabajo Social;2024;0.5062889004149378;0.45176348547717843;0.00907676348547718;0.03287085062240664
2024-2025;195;Arte y Arquitectura;Universidades;Actuación y Teatro;2024;0.20679012345679013;0.5192901234567902;0.25617283950617287;0.017746913580246913
2024-2025;196;Administración y Comercio;Universidades;Administración de Empresas e Ing. Asociadas;2024;0.31261595547309834;0.5241187384044527;0.11518243661100803;0.04808286951144094
2024-2025;198;Ciencias Sociales;Universidades;Administración Pública;2024;0.30665163472378804;0.6024520856820744;0.06496617812852311;0.02593010146561443
2024-2025;199;Administración y Comercio;Universidades;Administración Turística y Hotelera;2024;0.23826714801444043;0.5600825167612171;0.18359979370809695;0.018050541516245487
2024-2025;200;Agropecuaria;Universidades;Agronomía;2024;0.2600877192982456;0.5181286549707602;0.18771929824561404;0.034064327485380116
2024-2025;203;Ciencias Sociales;Universidades;Antropología;2024;0.269248291571754;0.48792710706150344;0.23234624145785876;0.010478359908883827
2024-2025;205;Arte y Arquitectura;Universidades;Arquitectura;2024;0.2115899683467251;0.5495495495495496;0.22072072072072071;0.018139761383004625
2024-2025;206;Arte y Arquitectura;Universidades;Artes y Licenciatura en Artes;2024;0.2445054945054945;0.4826007326007326;0.2588522588522589;0.014041514041514042
2024-2025;208;Ciencias Básicas;Universidades;Biología;2024;0.27539503386004516;0.44996237772761477;0.2656132430398796;0.009029345372460496
2024-2025;209;Ciencias Básicas;Universidades;Biología Marina y Ecología Marina;2024;0.2785862785862786;0.5420997920997921;0.16683991683991684;0.012474012474012475
2024-2025;210;Ciencias Básicas;Universidades;Bioquímica;2024;0.2431674842326559;0.5381920112123336;0.21268395234758233;0.005956552207428171
2024-2025;211;Ciencias Sociales;Universidades;Ciencias Políticas;2024;0.2156383628588882;0.4899205864386072;0.28466707391569945;0.009773976786805132
2024-2025;212;Arte y Arquitectura;Universidades;Comunicación Audiovisual y/o Multimedia;2024;0.15860014892032762;0.5450483991064781;0.27848101265822783;0.017870439314966492
2024-2025;214;Tecnología;Universidades;Construcción Civil;2024;0.2762858443331816;0.5471096950386891;0.14428766499772416;0.0323167956304051
2024-2025;215;Administración y Comercio;Universidades;Contador Auditor;2024;0.33432009167303284;0.5630252100840336;0.034759358288770054;0.06789533995416348
2024-2025;216;Derecho;Universidades;Derecho;2024;0.23871011205676945;0.5286429678201702;0.21645595203341492;0.016190968089645416
2024-2025;217;Arte y Arquitectura;Universidades;Diseño;2024;0.14375;0.40240384615384617;0.44503205128205126;0.008814102564102564
2024-2025;220;Arte y Arquitectura;Universidades;Diseño Gráfico;2024;0.24444444444444444;0.5679586563307494;0.158656330749354;0.028940568475452195
2024-2025;221;Tecnología;Universidades;Diseño Industrial;2024;0.2597864768683274;0.599644128113879;0.09252669039145907;0.04804270462633452
2024-2025;223;Salud;Universidades;Enfermería;2024;0.29750140370578326;0.5843346434587311;0.09775407074677148;0.020409882088714207
2024-2025;226;Salud;Universidades;Fonoaudiología;2024;0.3122166083689597;0.6112190698276979;0.04858142246404975;0.027982899339292655
2024-2025;227;Ciencias Sociales;Universidades;Geografía;2024;0.245393634840871;0.5552763819095478;0.19011725293132328;0.009212730318257957
2024-2025;228;Ciencias Básicas;Universidades;Geología;2024;0.231433506044905;0.5963483839131507;0.16160868492474711;0.010609425117197138
2024-2025;233;Tecnología;Universidades;Ingeniería Civil Ambiental;2024;0.2053200332502078;0.6151288445552785;0.171238570241064;0.00831255195344971
2024-2025;235;Tecnología;Universidades;Ingeniería Civil Eléctrica;2024;0.2611492281303602;0.5392367066895368;0.16144939965694682;0.03816466552315609
2024-2025;236;Tecnología;Universidades;Ingeniería Civil Electrónica;2024;0.2216148023549201;0.588309503784693;0.16526492851135408;0.0248107653490328
2024-2025;238;Tecnología;Universidades;Ingeniería Civil en Computación e Informática;2024;0.24504856818468526;0.5712123123501955;0.16500567680080735;0.018733442664311845
2024-2025;244;Tecnología;Universidades;Ingeniería Civil en Minas;2024;0.27942774357116984;0.5831220572256429;0.1169865990583122;0.020463600144875044
2024-2025;245;Tecnología;Universidades;Ingeniería Civil en Obras Civiles;2024;0.26750261233019856;0.5715778474399164;0.13375130616509928;0.027168234064785787
2024-2025;248;Tecnología;Universidades;Ingeniería Civil Industrial;2024;0.21838299524410365;0.5547575139926882;0.20350059853117214;0.023358892232035976
2024-2025;250;Tecnología;Universidades;Ingeniería Civil Mecánica;2024;0.20302565226923922;0.5555799166849376;0.2236351677263758;0.01775926331944749
2024-2025;251;Tecnología;Universidades;Ingeniería Civil Metalúrgica;2024;0.2596783799880881;0.6086956521739131;0.11614055985705778;0.015485407980941036
2024-2025;252;Tecnología;Universidades;Ingeniería Civil Química;2024;0.1920764060841882;0.5815351963211886;0.2196674920410329;0.0067209055535903785
2024-2025;253;Tecnología;Universidades;Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería;2024;0.16734739551278466;0.3616068930789459;0.45985564818441227;0.011190063223857214
2024-2025;254;Administración y Comercio;Universidades;Ingeniería Comercial;2024;0.18918795828209684;0.4547069271758437;0.33458578129981326;0.021519333242246207
2024-2025;256;Tecnología;Universidades;Ingeniería en Alimentos;2024;0.31241997439180536;0.5787451984635084;0.08962868117797695;0.019206145966709345
2024-2025;257;Tecnología;Universidades;Ingeniería en Automatización, Instrumentación y Control;2024;0.253765932792584;0.5631517960602549;0.08111239860950174;0.10196987253765932
2024-2025;258;Tecnología;Universidades;Ingeniería en Biotecnología y Bioingeniería;2024;0.25;0.5749551166965888;0.16202872531418314;0.013016157989228007
2024-2025;259;Administración y Comercio;Universidades;Ingeniería en Comercio Exterior;2024;0.2070750647109577;0.6798964624676446;0.07506471095772217;0.03796376186367558
2024-2025;260;Tecnología;Universidades;Ingeniería en Computación e Informática;2024;0.2748774156331122;0.5925872512258437;0.09042399769252957;0.042111335448514566
2024-2025;262;Tecnología;Universidades;Ingeniería en Construcción;2024;0.3097747468485224;0.6032238065716057;0.04959702417854929;0.037404422401322586
2024-2025;263;Administración y Comercio;Universidades;Ingeniería en Control de Gestión;2024;0.2755968169761273;0.5904509283819629;0.10557029177718832;0.028381962864721486
2024-2025;264;Tecnología;Universidades;Ingeniería en Electricidad;2024;0.31952247191011235;0.5484550561797753;0.047752808988764044;0.08426966292134831
2024-2025;265;Tecnología;Universidades;Ingeniería en Electrónica;2024;0.21929824561403508;0.6491228070175439;0.09210526315789473;0.039473684210526314
2024-2025;268;Ciencias Básicas;Universidades;Ingeniería en Geomensura y Cartografía;2024;0.3281653746770026;0.6149870801033591;0.031007751937984496;0.025839793281653745
2024-2025;269;Ciencias Sociales;Universidades;Ingeniería en Gestión Pública;2024;0.3116883116883117;0.6493506493506493;0.0;0.03896103896103896
