cod_sies;acred_inst;area_carr;nom_carr_gen;nom_carr_tit;porc_tit_cont_est;ret_1er_anio;dur_real_carr_sem;emp_1er_anio_tit_carr;emp_2do_anio_tit_carr;ing_prom_4to_anio_tit;arancel_anual_carr;per_sies
218.0;6 años;Ciencias Sociales;Técnico en Servicio Social;Técnico en Trabajo Social;0.2531914893617021;0.5669014084507042;6.216450216450217;0.3157894736842105;0.4798387096774194;De $700 mil a $800 mil;;2024-2025
218.0;6 años;Administración y Comercio;Técnico en Turismo y Hotelería;Técnico en Hotelería y Turismo;0.05952380952380952;0.56;7.057142857142857;0.3793103448275862;0.45098039215686275;s/i;;2024-2025
902.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Nivel Superior en Educación Parvularia y primer-segundo año de Educación Básica;0.27710843373493976;s/i;5.377049180327869;0.17582417582417584;;s/i;;2024-2025
902.0;No;Educación;Técnico Asistente del Educador Diferencial;Técnico de Nivel Superior en Educación Especial;0.32967032967032966;0.825;5.410714285714287;0.24691358024691357;;s/i;;2024-2025
902.0;No;Educación;Técnico en Deporte, Recreación y Preparación Física;Técnico de Nivel Superior en Deportes y Recreación;0.41284403669724773;s/i;s/i;0.265625;;s/i;;2024-2025
902.0;No;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico de Nivel Superior en Proyectos Eléctricos de Distribución;0.10975609756097561;0.7125;5.615384615384614;0.7115384615384616;;s/i;;2024-2025
902.0;No;Ciencias Sociales;Técnico en Servicio Social;Técnico de Nivel Superior en Trabajo Social;0.34545454545454546;s/i;5.611111111111109;0.2786885245901639;;s/i;;2024-2025
911.0;No;Salud;Técnico en Enfermería;Técnico de Nivel Superior en Enfermería;0.05357142857142857;0.7126436781609196;5.621212121212119;0.5942028985507246;;s/i;;2024-2025
914.0;No;Tecnología;Técnico en Mantenimiento Industrial;Técnico de Nivel Superior en Mantención y Reparación de Maquinaria Pesada;0.031746031746031744;0.6976744186046512;s/i;0.5135135135135135;;s/i;;2024-2025
536.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Nivel Superior en Educación Parvularia;0.3027027027027027;s/i;s/i;0.16393442622950818;0.2746478873239437;De $600 mil a $700 mil;;2024-2025
536.0;No;Educación;Técnico en Deporte, Recreación y Preparación Física;Técnico de Nivel Superior en Deporte y Recreación;0.30337078651685395;s/i;s/i;0.3137254901960784;0.3409090909090909;s/i;;2024-2025
536.0;No;Salud;Técnico en Enfermería;Técnico de Nivel Superior en Enfermería;0.054455445544554455;s/i;s/i;0.46616541353383456;0.5488372093023256;De $700 mil a $800 mil;;2024-2025
536.0;No;Ciencias Sociales;Técnico en Servicio Social;Técnico de Nivel Superior en Trabajo Social;0.2543859649122807;s/i;s/i;0.39622641509433965;0.336734693877551;De $600 mil a $700 mil;;2024-2025
435.0;3 años;Administración y Comercio;Técnico en Turismo y Hotelería;Técnico en Ecoturismo;0.0603448275862069;s/i;s/i;0.22093023255813954;0.35365853658536583;s/i;;2024-2025
435.0;3 años;Agropecuaria;Técnico Veterinario;Técnico Veterinario;0.07258064516129033;0.5864661654135338;5.628205128205126;0.47058823529411764;0.575;s/i;;2024-2025
398.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia y Básica;0.12025316455696203;s/i;s/i;0.18888888888888888;0.3614457831325301;De $500 mil a $600 mil;;2024-2025
398.0;No;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Especial;0.06329113924050633;s/i;s/i;0.15217391304347827;0.28888888888888886;s/i;;2024-2025
426.0;No;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Administración en Recursos Humanos;0.25757575757575757;0.5581395348837209;7.083333333333333;0.6354166666666666;0.7339449541284404;De $900 mil a $1 millón;;2024-2025
426.0;No;Administración y Comercio;Técnico en Administración de Ventas;Técnico en Administración Comercial;0.2360248447204969;s/i;s/i;0.7246376811594203;0.6176470588235294;De $1 millón 100 mil a $1 millón 200 mil;;2024-2025
426.0;No;Administración y Comercio;Técnico en Administración Financiera y Finanzas;Técnico en Finanzas;0.34408602150537637;0.5925925925925926;7.03448275862069;0.6938775510204082;0.7222222222222222;De $1 millón a $1 millón 100 mil;;2024-2025
426.0;No;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Administración en Comercio Exterior;0.18269230769230768;0.4935064935064935;6.555555555555555;0.7745098039215687;0.7789473684210526;De $1 millón a $1 millón 100 mil;;2024-2025
426.0;No;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;0.27692307692307694;0.5425531914893617;6.233333333333333;0.7606837606837606;0.7053571428571429;De $900 mil a $1 millón;;2024-2025
426.0;No;Administración y Comercio;Técnico en Logística;Técnico en Logística Operativa;0.32217573221757323;0.7345132743362832;7.276315789473681;0.782608695652174;0.75;De $900 mil a $1 millón;;2024-2025
374.0;No;Salud;Técnico en Enfermería;Técnico en Enfermería;0.056768558951965066;s/i;s/i;0.8113207547169812;;De $700 mil a $800 mil;;2024-2025
430.0;7 años;Agropecuaria;Técnico Agropecuario;Tecnología Agrícola y Producción Ganadera;0.2525987525987526;0.6383838383838384;7.938666666666666;0.45518207282913165;0.5345557122708039;De $800 mil a $900 mil;;2024-2025
430.0;7 años;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;0.033216783216783216;0.7361111111111112;5.994594594594592;0.5665914221218962;0.5954773869346733;De $600 mil a $700 mil;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;0.35479041916167664;0.6998428496595076;6.941141848145969;0.5566707466340269;0.6193042626163645;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Comercio Exterior;0.3621495327102804;0.725;9.009900990099009;0.6583850931677019;0.676595744680851;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Tecnología;Técnico en Computación e Informática;Técnico Analista Programador;0.19019893255701115;0.6893305439330544;7.978651685393259;0.6596306068601583;0.7691082802547771;De $1 millón 200 mil a $1 millón 300 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Edificación y Construcción;0.41284403669724773;0.6583679114799447;7.652439024390242;0.5247093023255814;0.5848032564450475;De $1 millón a $1 millón 100 mil;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;0.28851963746223563;0.7423822714681441;7.203804347826087;0.590702947845805;0.6750629722921915;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad Industrial;0.24365175332527206;0.6867017280240421;7.937611408199643;0.6983050847457627;0.736283185840708;De $1 millón a $1 millón 100 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Electromecánica;Técnico en Electromecánica;0.1394658753709199;s/i;6.729729729729731;0.7945736434108527;0.8187919463087249;s/i;;2024-2025
430.0;7 años;Tecnología;Técnico en Electrónica y Electrónica Industrial;Técnico en Electrónica y Electrónica Industrial;0.2736156351791531;0.6933333333333334;6.881578947368421;0.6723404255319149;0.7393364928909952;De $1 millón a $1 millón 100 mil;;2024-2025
430.0;7 años;Salud;Técnico en Enfermería;Técnico en Enfermería;0.041019955654102;0.7773809523809524;5.840772014475271;0.6627586206896552;0.7299122214719784;De $700 mil a $800 mil;;2024-2025
430.0;7 años;Salud;Técnico en Farmacia;Técnico en Farmacia;0.05664488017429194;0.7590361445783133;6.014285714285713;0.6139817629179332;0.7513812154696132;s/i;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía Internacional;0.14037940379403793;0.7914706804640953;6.7641568139390165;0.3755868544600939;0.3984842441164739;De $600 mil a $700 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Instrumentación, Automatización y Control Industrial;Técnico en Automatización y Control Industrial;0.28872497365648053;s/i;9.218579234972678;0.7307430129516019;0.8049469964664311;De $1 millón 200 mil a $1 millón 300 mil;;2024-2025
430.0;7 años;Salud;Técnico en Laboratorio Clínico;Técnico Laboratorista Clínico, Banco de Sangre e Imagenología;0.05649717514124294;0.7575757575757576;6.035398230088496;0.6567164179104478;0.7104377104377104;De $700 mil a $800 mil;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Logística;Técnico en Logística y Operaciones Industriales;0.3112175102599179;0.7515625;5.957746478873238;0.6467710371819961;0.6857707509881423;De $1 millón a $1 millón 100 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico en Mantenimiento Industrial;0.27852852852852855;0.7308558558558559;7.384174311926605;0.7455533596837944;0.8043290043290043;De $1 millón 100 mil a $1 millón 200 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Mecánica Automotriz;Técnico en Mecánica Automotriz;0.2232848232848233;0.6945996275605214;7.4312567132116;0.6560473639695518;0.6917173855517332;De $1 millón a $1 millón 100 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Mecánica Industrial;Técnico en Mecánica en Producción Industrial;0.18681318681318682;s/i;s/i;0.8695652173913043;0.821917808219178;De $1 millón 100 mil a $1 millón 200 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Metalurgia;Técnico en Metalurgia Extractiva;0.3880597014925373;0.45454545454545453;7.3076923076923075;0.8506493506493507;0.865546218487395;De $1 millón 600 mil a $1 millón 700 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Minería;Técnico en Minería;0.36613272311212813;0.6280487804878049;7.5524475524475525;0.7592592592592593;0.7770491803278688;De $1 millón 400 mil a $1 millón 500 mil;;2024-2025
430.0;7 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;0.23925667828106853;s/i;10.045871559633028;0.5393835616438356;0.6282051282051282;De $900 mil a $1 millón;;2024-2025
